관리번호,파일명,제품명칭,영문명칭,내용물관련사항,생산시주의사항,제품코드,제품명,표시용량,충진용량,색상,비고
EVCO-1000,제품표준서_EVCO1000_(FJSL002)-프레쥬 프로 모이스처 크리미 토너.xls,,,유백색 액상,,FJSL002,프레쥬 프로 모이스처 크리미 토너,500 mL,505g 이상,유백색,비중=1.01
EVCO-1001,제품표준서_EVCO1001_(FJCR003)-프레쥬 프로 모이스처 인텐시브 크림.xls,,,유백색 크림상,,FJCRM03,프레쥬 프로 모이스처 인텐시브 크림,10 mL,10 g,백색,비중=0.956
EVCO-1001,제품표준서_EVCO1001_(FJCR003)-프레쥬 프로 모이스처 인텐시브 크림.xls,,,유백색 크림상,,FJCR003,프레쥬 프로 모이스처 인텐시브 크림,10 mL,10 g,백색,비중=0.956
EVCO-1002,제품표준서_EVCO1002_(FJPK001)-프레쥬 오리지날 허브 자연약쑥 산소 마스크팩.xls,,,유백색 점액상,,FJPK001,프레쥬 오리지날 허브 자연약쑥 산소 마스크팩,300 mL,312g,유백색,비중=1.038
EVCO-1003,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls,,,색 상 : 성 상 :,,MLDM029,미미로린스 드레스 퍼퓸 모먼트 레스트-로즈부쉬,500mL,492g,무색,비중=0.984
EVCO-1003,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls,,,색 상 : 성 상 :,,MLDM030,미미로린스 드레스 퍼퓸 모먼트 레스트-로즈부쉬,500mL,492g,무색,비중=0.984
EVCO-1003,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls,,,색 상 : 성 상 :,,MLDM031,미미로린스 드레스 퍼퓸 모먼트 레스트-로즈부쉬,500mL,492g,무색,비중=0.984
EVCO-1004,제품표준서_EVCO1004_(JOFC001)-제이온 버드 네스트 클렌징 폼.xls,,,백색의 크림상,,JOFC001,제이온 버드 네스트 클렌징 폼,100 ml / 30 ml,95g,,
EVCO-1004,제품표준서_EVCO1004_(JOFC001)-제이온 버드 네스트 클렌징 폼.xls,,,백색의 크림상,,JOFCM01,제이온 버드 네스트 클렌징 폼,100 ml / 30 ml,95g,,
EVCO-1005,제품표준서_EVCO1005_(JOCO001)-제이온 버드 네스트 클렌징 오일.xls,,,미황색의 오일상,,JOCO001,제이온 버드 네스트 클렌징 오일,150 ml / 55ml,139g,,
EVCO-1005,제품표준서_EVCO1005_(JOCO001)-제이온 버드 네스트 클렌징 오일.xls,,,미황색의 오일상,,JOCOM01,제이온 버드 네스트 클렌징 오일,150 ml / 55ml,139g,,
EVCO-1005,제품표준서_EVCO1005_(JOCO001)-제이온 버드 네스트 클렌징 오일.xls,,,미황색의 오일상,,JOCM2T1,제이온 버드 네스트 클렌징 오일,150 ml / 55ml,139g,,
EVCO-1006,제품표준서_EVCO1006_(NPBC005)-에바스 나뚜리아 크리미 밀크 바디워시 - 밀크 미.xls,,,백색 불투명 점액상,,NPBC005,에바스 나뚜리아 크리미 밀크 바디워시 - 밀크 미,750 mL,764g,백색,비중=1.018
EVCO-1007,제품표준서_EVCO1007_(NPBC006)-에바스 나뚜리아 크리미 밀크 바디워시 - 쏘 바닐라.xls,,,미색 불투명 점액상,,NPBC006,에바스 나뚜리아 크리미 밀크 바디워시 - 쏘 바닐라,750 mL,764g,미색,비중=1.018
EVCO-1008,제품표준서_EVCO1008_(NPBC007)-에바스 나뚜리아 크리미 밀크 바디워시 - 초코 라떼.xls,,,갈색 불투명 점액상,,NPBC007,에바스 나뚜리아 크리미 밀크 바디워시 - 초코 라떼,750 mL,764g,갈색,비중=1.018
