관리번호,제품코드,부자재명,부자재사양,업체
EVCO-1000,FJSL002,용기,"- 품명 : 500ml 어깨 직각형  - 용량 : 500ml     - 색상 : 사출진행(블루)
- 사이즈 : 지름72mm*높이160mm      - 넥사이즈 : 28 Ø",영동
EVCO-1000,FJSL002,용기인쇄,- 인쇄 사양 : 별색 1도,성문
EVCO-1000,FJSL002,캡,"- 품명 : Ø28FT-A-W       - 원터치캡(A타입)     - 색상 : 백색 불투명
- 규격 : W 24.5 * H 31(mm)       - 재질 : PP",GF
EVCO-1000,FJSL002,바킹,- 품명 : 버진바킹(로션바킹 21Ø)     - 색상 : 투명,정상
EVCO-1000,FJSL002,단상자,"- 제품크기 : 73*73*171 (mm) (가로*폭*높이)
- 재질 : CCP 300g, 무광라미네이팅 코팅
- 인쇄사양 : 별색 1도       - 밑면 : 3면 접착      - 색상 : 타겟 색상",창조
EVCO-1001,FJCRM03,용기+용기인쇄,"- 품명 : MT-C-6 원형 크림 용기         - 용량 : 50ml
- 색상 : 사출 진행        - SIZE : Φ61.5 x 49.5      - 인쇄 사양 : 별색 1도",미금
EVCO-1001,FJCR003,용기+용기인쇄,"- 품명 : MT-C-6 원형 크림 용기         - 용량 : 50ml
- 색상 : 사출 진행        - SIZE : Φ61.5 x 49.5      - 인쇄 사양 : 별색 1도",미금
EVCO-1001,FJCRM03,단상자,"- 제품크기 : 64*64*53 (mm) (가로*폭*높이) 
- 재질 : CCP 300g, 무광라미네이팅 코팅
- 인쇄사양 : 별색 1도      - 밑면 : 3면 접착     - 색상 : 타겟 색상",창조
EVCO-1001,FJCR003,단상자,"- 제품크기 : 64*64*53 (mm) (가로*폭*높이) 
- 재질 : CCP 300g, 무광라미네이팅 코팅
- 인쇄사양 : 별색 1도      - 밑면 : 3면 접착     - 색상 : 타겟 색상",창조
EVCO-1001,FJCRM03,튜브,"- 원단 : ABL 정원튜브 (유광)      - 유출구 : 19Ø
- 인쇄 : 별색 1도         - 캡 : 막캡(색상사출_튜브색상과 동일) 
- 튜브길이 : 91mm       - 입고길이 : 96mm",동서
EVCO-1001,FJCR003,튜브,"- 원단 : ABL 정원튜브 (유광)      - 유출구 : 19Ø
- 인쇄 : 별색 1도         - 캡 : 막캡(색상사출_튜브색상과 동일) 
- 튜브길이 : 91mm       - 입고길이 : 96mm",동서
EVCO-1002,FJPK001,용기,"1. 재질: PET 브로우 용기 (어깨 직각형)
2. 용량: 300ml (프레쥬 자연약쑥 클렌징 워터와 동일용기)
3. 제품사이즈: 24ø X128 (mm)
4. 넥사이즈: 24ø
( 2017.02.14 동일금형 넥 높이 조정된 용기)
5. 색상: 투명 색상없음",SC하이테크
EVCO-1002,FJPK001,용기인쇄,"1. 용기사양: 투명 무색 어깨 직각형 용기
2. 사이즈: 24Ø X 128 (mm)         3. 인쇄: 별색1도 실크인쇄
4. 용량: 300ml                        5. 용기색상: 투명 용기",수창스크린
EVCO-1002,FJPK001,단상자,"1. SIZE : 67(장)x67(폭)x160(고) (mm)
2.수량: 5,000개           3.재질: CCP 300g          4.인쇄: 별색1도
5.코팅: 무광 라미네이팅 코팅            6.밑면: 1면 접착(십자 결구식)
7.인서트: 없음",태경인쇄
EVCO-1002,FJPK001,펌프,"1. 품명: 샴푸 펌프 24Ø (GF_207)           2. 넥타입: 스무스(민자) TYPE
3. 색상: 반투명                               4. 패킹: 패드 1T 이상
5. 스펀지팁: 2EA(1.5T)",GF테크
