filename,product_code,product_name,batch_number,batch_unit,dept_name,actual_qty,mfg_date,operator,approver_1,approver_2,approver_3,notes_content,total_time,special_notes,step_count
ADML_케어미 어르신전용 고보습바디로션.xlsx,ADML000,케어미 어르신 전용 고보습 바디로션,,Kg,,Kg,,,"결

재",담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
AJBC_케어미 어르신전용데오바디워시.xlsx,AJBC002,케어미 어르신전용 데오 바디워시,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
AJSP_케어미 어르신전용아르간단백질샴푸&린스.xlsx,AJSP002,케어미 어르신전용 아르간 단백질 샴푸&린스,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
ANBC_애스톤네이처 프로방스상떼바디클렌저.xlsx,ANBC_____,,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
ANBL_애스톤네이처 프로방스상떼바디로션.xlsx,ANBL_____,,,Kg,,Kg,,,"결

재",담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
ANHP001_애스톤네이처 바오밥퍼퓸헤어팩.xlsx,ANHP001,애스톤네이처 바오밥 퍼퓸 헤어팩,,Kg,,Kg,,,"결

재",담 당,부서장,,,,9
ANSP001_애스톤네이처 바오밥퍼퓸헤어샴푸.xlsx,ANSP001,애스톤네이처 바오밥 퍼퓸 헤어샴푸,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
AOBC005_샤샤 아르간오일 진저 쿨링 케어 바디워시 공정.xlsx,AOBC005,샤샤 아르간 오일 진저 쿨링 케어 바디워시,,Kg,,Kg,,,"결

재",담 당,부서장,투명점성액상,,,8
AOBC_샤샤 바디워시.xlsx,AOBC004,샤샤 알로에베라 바디워시,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
AOBL_샤샤 바디로션.xlsx,AOBL_______,,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
