product_code,step_num,step_type,step_name,step_desc,work_time,checker
ADML000,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
ADML000,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
ADML000,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Pemulen 넣고 Stirrer로 용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
ADML000,4,제조공정,수상 용해,"수상용해조에 11**, 14**을 넣고 78-80℃로 가온용해한다",,
ADML000,5,제조공정,유상 용해,"유상용해조에 21**, 22**을 넣고  78-80℃로 가온용해한다",,
ADML000,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
ADML000,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
ADML000,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
ADML000,9,제조공정,"향, 첨가제
투입","41**, 51**을 투입교반하고, 냉각,탈포한다",,
ADML000,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
ADML000,100,유의사항,작업자 유의사항,*원료투입시 100메쉬 여과 거칠 것,,
AJBC002,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AJBC002,2,제조공정,"가온
용해","메인탱크에 원료 11, 12, 21, 31를 넣고 80℃로 가열용해한다.
    Pad 20rpm",,
AJBC002,3,제조공정,냉각개시,"위 상의 용해확인 후 원료 41 파트를 투입하고
60℃ 까지 냉각한다.",,
AJBC002,4,제조공정,"향, 첨가제,
 색소 투입","향과 첨가제, 색소(해당시) 파트를 투입하여 교반한다.",,
AJBC002,5,제조공정,"여  과
종  료",33-36℃까지 냉각후 100메쉬 여과하여 종료한다.,,
AJSP002,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AJSP002,2,제조공정,"점증제
분산","1110,1120을 Stirrer로 premix한 후 수상용해조에 1210(실온)
와 함께 투입 5분간 분산한다.",,
ANBC_____,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
ANBC_____,2,제조공정,"가온
용해","메인탱크에 원료 1110, 12**, 13**를 넣고 80℃로 가열용해한다.
    Pad 20rpm",,
ANBC_____,3,제조공정,냉각개시,"위 상의 용해확인 후 원료 14** 파트를 투입하고
60℃ 까지 냉각한다.",,
ANBC_____,4,제조공정,"향, 첨가제,
 색소 투입","향과 첨가제, 색소(해당시) 파트를 투입하여 교반한다.",,
ANBC_____,5,제조공정,"여  과
종  료",33-36℃까지 냉각후 100메쉬 여과하여 종료한다.,,
ANBL_____,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
ANBL_____,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
ANBL_____,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Pemulen 넣고 Stirrer로 용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
ANBL_____,4,제조공정,수상 용해,"수상용해조에 11**, 12**을 넣고 78-80℃로 가온용해한다",,
ANBL_____,5,제조공정,유상 용해,"유상용해조에 21**, 23**을 넣고  78-80℃로 가온용해한다",,
ANBL_____,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
ANBL_____,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
ANBL_____,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
ANBL_____,9,제조공정,"향, 첨가제
투입","41**, 51**을 투입교반하고, 냉각,탈포한다",,
ANBL_____,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
ANBL_____,100,유의사항,작업자 유의사항,*원료투입시 100메쉬 여과 거칠 것,,
ANHP001,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
ANHP001,2,제조공정,"점증제
분산",별도용해조에서 Glyerin(1220)에 Esaflor(1210)을 넣고 Premix한다,,
ANHP001,3,제조공정,수상 용해,"수상용해조에 11**, 21**을 넣고 78-80℃로 가온용해한다",,
ANHP001,4,제조공정,유상 용해,유상용해조에 31**를 넣고  78-80℃로 가온용해한다,,
ANHP001,5,제조공정,이  송,"메인탱크로 수상을 여과이송하고 STAC-30(2210)을 
여과투입하여 혼합교반 한다. ",,
ANHP001,6,제조공정,유  화,"메인탱크로 유상을 여과이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 10분 )",,
ANHP001,7,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
ANHP001,8,제조공정,"향, 첨가제
투입","41**, 51**, 61**, 71**, 81**을 투입교반하고, 냉각, 탈포한다",,
ANHP001,9,제조공정,부상,33℃까지 냉각하여 부상한다.,,
ANSP001,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
ANSP001,2,제조공정,"점증제
분산","1110,1120을 Stirrer로 premix한 후 수상용해조에 1210(실온)
와 함께 투입 5분간 분산한다.",,
AOBC004,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AOBC004,2,제조공정,"가온
용해","메인탱크에 원료 11**, 12**를 넣고 80℃로 가열용해한다.
    Pad 20rpm",,
AOBC004,3,제조공정,냉각개시,"위 상의 용해확인 후 원료 21** 파트를 투입하고
60℃ 까지 냉각한다.",,
AOBC004,4,제조공정,"향, 첨가제,
투입",향(3110)과 첨가제(41**) 파트를 투입하여 교반한다.,,
AOBC004,5,제조공정,"여  과
종  료",33-36℃까지 냉각후 100메쉬 여과하여 종료한다.,,
AOBC005,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AOBC005,2,제조공정,"점증제
분산",수상용해조에 실온의 정제수(1110)를 교반하면서 1120을 흐트려 투입하고 80℃ 까지 가온하여 10분간 용해한다.,,
AOBC005,3,제조공정,"가온
용해",메인탱크에 21**을 투입하여 5분간 교반한 후 위 수상을 이송해 10분간 교반한다.,,
AOBC005,4,제조공정,"가온
용해",메인탱크에  31**을 투입하여 5분간 용해한다,,
AOBC005,5,제조공정,"가온
용해","메인탱크에 4110을 투입하여 80℃로 용해한다
(P: 20rpm, 80℃, 20분)",,
AOBC005,6,제조공정,"혼합
냉각",위상에 5110을 투입하고 냉각개시한다.,,
AOBC005,7,제조공정,"향, 첨가제
투입","위상에 61**, 7***을 투입하여 혼합한다.
(61**은 투입 전 교반하여 완전히 용해시킬 것, 가온실)",,
AOBC005,8,제조공정,"여  과
종  료",33-35℃까지 냉각후 100메쉬 여과하여 종료한다.,,
AOBC005,100,유의사항,작업자 유의사항,투명점성액상,,
AOBL_______,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AOBL_______,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
