product_code,semi_product_code,step_num,step_type,step_name,step_desc,work_time,checker
ADML000,BADML0000,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
ADMLM00,BADML0000,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
ADML000,BADML0000,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
ADMLM00,BADML0000,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
ADML000,BADML0000,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Pemulen 넣고 Stirrer로 용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
ADMLM00,BADML0000,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Pemulen 넣고 Stirrer로 용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
ADML000,BADML0000,4,제조공정,수상 용해,"수상용해조에 11**, 14**을 넣고 78-80℃로 가온용해한다",,
ADMLM00,BADML0000,4,제조공정,수상 용해,"수상용해조에 11**, 14**을 넣고 78-80℃로 가온용해한다",,
ADML000,BADML0000,5,제조공정,유상 용해,"유상용해조에 21**, 22**을 넣고  78-80℃로 가온용해한다",,
ADMLM00,BADML0000,5,제조공정,유상 용해,"유상용해조에 21**, 22**을 넣고  78-80℃로 가온용해한다",,
ADML000,BADML0000,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
ADMLM00,BADML0000,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
