ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method
MAA-0001,Allantoin,WUHU HUAHAI BIOLOGY ENGINEERING ,블루켐,무작위,원료실
MAA-0002,알로에베라 추출물,인코스,인코스,무작위,원료실
MAA-0016,Anti-Shadow Complex,Ichmaru,한주씨앤씨,무작위,원료실
MAA-0017,알부틴 (Arbutin),엔지켐,썬화인글로벌,무작위,원료실
MAA-0018,신선초 추출물(ANGELICA EXT),씨앤비바이오,씨앤비바이오,무작위,원료실
MAA-0020,초과(초도구)추출물,씨앤비바이오,씨앤비바이오,무작위,원료실
MAA-0021,Adenosine(podwer),SHARING,㈜나노젠,무작위,원료실
MAA-0022,Aquasilicone,H&A 파마켐,샘스씨앤에스,무작위,원료실
MAA-0024,아카시아추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAA-0025,은행잎추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAA-0026,레몬밤추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAA-0027,Avocado ext.,내추럴솔루션,내추럴솔루션,무작위,원료실
MAA-0028,Azure 3 Complex,내추럴솔루션,내추럴솔루션,무작위,원료실
MAA-0029,Aloe Powder (200:1),American Grown Aloe LLC,㈜블루켐,무작위,원료실
MAA-0030,안젤리카추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAA-0031,사과추출물-PF,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAA-0032,아로니아열매 추출물 H,BIO-FD&C,BIO-FD&C,무작위,원료실
MAA-0033,악마의발톱뿌리추출물-PF,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAA-0034,은행나무잎추출물,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAA-0035,Amino Acid Solution,주식회사 더가든오브내추럴솔루션,주식회사 더가든오브내추럴솔루션,무작위,원료실
MAA-0036,Ascorbic Acid Fine Powder,DSM,세로켐,무작위,원료실
MAA-0037,아티초크잎추출물-PF,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAA-0038,어성초 추출수 - HD,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAA-0039,아텔로콜라겐솔루션(0.1%),내추럴솔루션,내추럴솔루션,무작위,원료실
MAB-0004,Biolac,Barnet,비젼화학,무작위,원료실
MAB-0009,블랙커민씨 추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAB-0010,바오밥나무 추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAB-0011,병풀 추출물 H,(주)바이오에프디엔씨,(주)바이오에프디엔씨,무작위,원료실
MAB-0012,병풀추출물 ,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAB-0013,Byungpul Extract-Ev ,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAB-0014,Blue Complex H,(주)바이오에프디엔씨,(주)바이오에프디엔씨,무작위,원료실
MAB-0015,푸른연꽃추출물-PF,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAB-0016,비피다발효추출물-HD,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAB-0017,D-Biotin,NHU,(주)블루켐,무작위,원료실
MAB-0018,BioDTox,바이오스펙트럼㈜,바이오스펙트럼㈜,무작위,원료실
MAB-0019,Brillain MB218,"BEIJING BRILLIANCE BIOTECH CO., LTD.",(주)블루켐,무작위,원료실
MAC-0001,캐모마일꽃추출물 [Chamomile Ext.],(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAC-0016,CM-Glucan,Mibelle AG,세일,무작위,원료실
MAC-0018,"Ceramide 3B,DS-CeramideY30",Solus,(주)모아캠,무작위,원료실
MAC-0021,Caffein,Kaden,랩싸이언스,무작위,원료실
MAC-0025,Cucumber Extract,유로코스텍,유로코스텍,무작위,원료실
MAC-0026,Charcoal Powder(참숯파우더）,(주)씨앤비코스메틱,(주)이현에프앤씨,무작위,원료실
MAC-0031,Carrot Extract,,신아무역,무작위,원료실
MAC-0032,Coral Water(산호수추출물),씨앤비바이오,씨앤비바이오,무작위,원료실
MAC-0033,Caviar Extract,더마랩,더마랩,무작위,원료실
MAC-0034,Cocoa Powder D-11-S,인투푸드,인투푸드,무작위,원료실
MAC-0035,체리추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAC-0036,창포 Ext.,,,무작위,원료실
MAC-0037,코카오 complex,내추럴솔루션,내추럴솔루션,무작위,원료실
MAC-0038,크렌베리추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAC-0039,컴프리잎추출물-SP,내추럴솔루션,내추럴솔루션,무작위,원료실
MAC-0040,Centella Asiatica,HUNAN,(주)이우바이오,무작위,원료실
MAC-0041,CapColor CV-WSS,Chr. Hansen A / S,㈜주피터 인터내셔널,무작위,원료실
MAC-0042,캐나다빙하수 HD,(주)블루켐,(주)블루켐,무작위,원료실
MAC-0043,7 Collagen Complex,태신,태신,무작위,원료실
MAC-0044,칼라민파우더,DAYANG CHEM,(주)블루켐,무작위,원료실
MAC-0045,Cholesterol JP,NIPPON FINE CHEMICAL,한송,무작위,원료실
MAD-0002,DPG(Lipo DPG),DAEPYUNG,라온무역,무작위,원료실
MAD-0006,Deep Seawater(해양심층수),환경관리센터,젠슨리무역,무작위,원료실
MAD-0008,Dehydrated Rose Flower,GreenTek21,에스앤디랩,무작위,원료실
MAD-0009,머드파우더,보령시청,보령시청,무작위,원료실
MAD-0010,머드워터(추출물),보령시청,보령시청,무작위,원료실
MAD-0011,감나무잎추출물-PF,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAD-0012,당호박추출물,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAD-0013,두송열매추출물-PF,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAD-0014,바다포도추출물,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAD-0015,Dextrose anhydrous 98% [(Glucose)],덕산약품공업,블루켐,무작위,원료실
MAE-0009,Ederline H,Sepoga,금강무역,무작위,원료실
MAE-0011,Evermat,AAK,ASK corp ,무작위,원료실
MAE-0012,ECM-Protect,Atrium,비전씨앤티,무작위,원료실
MAE-0013,EVAS Herb Complex(HD), 더마랩,이스티온네이처,무작위,원료실
MAE-0014,BIO-EGF 10 H,BIO FD&C,BIO FD&C,무작위,원료실
MAE-0015,에바스-Pro Complex,내추럴솔루션,내추럴솔루션,무작위,원료실
MAE-0016,유칼립투스추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAE-0017,에델바이스추출물-SP,내추럴솔루션,내추럴솔루션,무작위,원료실
MAE-0018,Elastin H-HD,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAE-0019,Specbio Ectoin,Spec-Chem Industry Inc,나노젠,무작위,원료실
MAE-0020,EVAS Anti-odor Complex,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAF-0006,Fresh Green Bud,내추럴솔루션,내추럴솔루션,무작위,원료실
MAF-0007,후코이단추출물,㈜해림후코이단,㈜해림후코이단,무작위,원료실
MAF-0008,FruitMax Brown 900 WS,CHR-HANSEN,(주)주피터인터네셔널,무작위,원료실
MAG-0002,Gamma-Oryzanol,Tsumo Rice,정한약품,무작위,원료실
MAG-0003,Ginkgo Extract,씨앤비바이오,씨앤비바이오,무작위,원료실
MAG-0004,Gatuline RC,Gatefosse,(주)노바켐,무작위,원료실
MAG-0007,HIZ Wheat Protein,즐거운회사,즐거운회사,무작위,원료실
MAG-0009,Green Tea Ext.,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAG-0012,자몽추출물-PF,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAG-0021,갈락토미세스 발효여과물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAG-0022,포도추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAG-0023,Guaiazulene [symrise],,이현에프앤씨,무작위,원료실
MAG-0024,감귤추출물-PF,즐거운회사,즐거운회사,무작위,원료실
MAG-0025,고수추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAG-0026,검정콩추출물,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAG-0027,L-Glutathione,"Kyowa Hakko Bio Co., Ltd.",(주)블루켐,무작위,원료실
MAG-0028,녹차파우더 GB 3000,지엔바이오,지엔바이오,무작위,원료실
MAG-0029,가르시니아열매추출물-PF,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAG-0030,금사연둥지추출물,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAG-0031,GREEN WS-P HIGH,NATUREX,(주)코스파인,무작위,원료실
MAG-0032,Ginsenosides Solution,옵트바이오,옵트바이오,무작위,원료실
MAG-0033,Ginsenoside Exosome #9,옵트바이오,옵트바이오,무작위,원료실
MAH-0001,위치하젤 추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAH-0006,로즈마리추출물,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAH-0007,Herbasol Ext.Spruce Needles,Cosmetochem,세일,무작위,원료실
MAH-0008,Honey,동서/아카시아,쿠팡,무작위,원료실
MAH-0011,Ivy Ext.(담쟁이),(주)씨앤비바이오,(주)씨앤비바이오,무작위,원료실
MAH-0018,꿀추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAH-0019,황토파우더(4000mesh), ,신아무역,무작위,원료실
MAH-0020,해당화뿌리 추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAH-0021,스웨덴 홍차추출물(HD),C&B BIO,㈜블루켐,무작위,원료실
MAH-0022,히비스커스꽃추출물,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAH-0023,Houttuynia Cordata pwd GB 1000,지엔바이오,지엔바이오,무작위,원료실
MAH-0024,홍삼수-HD,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAH-0025,Hyal 11(T),태신,태신,무작위,원료실
MAI-0003,INFLAX,(주)바이오에프디엔씨,(주)바이오에프디엔씨,무작위,원료실
MAI-0004,아이리스추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAI-0005,인삼발효(B)여과물-HD,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAI-0006,아이슬란드이끼추출물-PF,㈜즐거운회사,㈜즐거운회사,무작위,원료실
MAJ-0001,쟈스민추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAJ-0002,차전초(질경이) 추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAJ-0003,Jeju Blossom(PD),내추럴솔루션,내추럴솔루션,무작위,원료실
MAJ-0004,제비꽃 추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAJ-0005,진주추출물-NP ,내추럴솔루션,내추럴솔루션,무작위,원료실
MAJ-0006,작약꽃추출물,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAK-0001,Keratin H-HD,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAL-0001,L-Arginine,대상,(주)한백씨앤에프,무작위,원료실
MAL-0013,다시마추출물-PF,즐거운회사,즐거운회사,무작위,원료실
MAL-0014,백합추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAL-0015,Lactobiol Liquid PF,I.D.bio,썬화인글로벌,무작위,원료실
MAL-0016,라벤더추출물-NS,내추럴솔루션,내추럴솔루션,무작위,원료실
MAL-0017,Organic Lemonbalm Water,내추럴솔루션,내추럴솔루션,무작위,원료실
MAL-0018,레몬추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAL-0019,Lovely Berry 4 Complex,내추럴솔루션,내추럴솔루션,무작위,원료실
MAL-0020,라임추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAL-0021,Lavender Extract-PD,내추럴솔루션,내추럴솔루션,무작위,원료실
MAL-0022,락토바실러스발효물-HD,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAL-0023,리치열매추출물,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAL-0024,Lacto 10 Complex,내추럴솔루션,내추럴솔루션,무작위,원료실
MAM-0001,Marigold Ext.(금잔화),(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAM-0003,Mulberry Ext.(BG),Marusen,유로코스텍,무작위,원료실
MAM-0011,Marine Collagen (KV),㈜단정바이오,케이에스캠,무작위,원료실
MAM-0015,Mela white Complex,더마랩,이스티온네이처,무작위,원료실
MAM-0016,맥반석(신),동서캠,동서캠,무작위,원료실
MAM-0017,Milk,서울우유,서울우유,무작위,원료실
MAM-0019,Microzest Coffee,,지코,무작위,원료실
MAM-0025,Magic Solution 9507,더마랩,더마랩,무작위,원료실
MAM-0026,모링가잎추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAM-0027,우유추출물-NP,내추럴솔루션,내추럴솔루션,무작위,원료실
MAM-0028,망고추출물,내추럴솔루션,내추럴솔루션,무작위,원료실
MAM-0029,Marine Collagen (KV) (H),㈜단정바이오,케이에스켐,무작위,원료실
MAM-0030,MSM,Hangzhou Ruijiang Chemical,지코,무작위,원료실
MAM-0031,마카추출물,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MAM-0032,MultiEx BSASM Plus,바이오스펙트럼㈜,바이오스펙트럼㈜,무작위,원료실
MAM-0033,Melafresh T96,Southern Cross Botanicals Pty Ltd,(주)블루켐,무작위,원료실
MAM-0034,MS-NeoBead GR13(G),미산캠프인터내셔널,미산캠프인터내셔널,무작위,원료실
MAM-0035,Madecassoside 90,"Nanning Xingjing
Technology",인코스,무작위,원료실
MAM-0036,마트리카리아꽃수-HD,즐거운회사,즐거운회사,무작위,원료실
MAN-0001,Nicotinamide PC,DSM,세로켐,무작위,원료실
MAN-0003,Nutrilan-H,코그니스,코그니스코리아,무작위,원료실
MAN-0005,Nayasol-99,MDH Laboratories,태성사,무작위,원료실
MAN-0008,Nanoceramide(5%),H&A 파마켐,샘스씨앤에스,무작위,원료실
MAN-0009,NSG,팁스트레이드,팁스트레이드,무작위,원료실
