ingredient_code,ingredient_name,spec_item,spec_standard,result_value,result_date,test_method,remarks
MAA-0001,Allantoin,성상,백색의 결정성가루,,,,
MAA-0001,Allantoin,중금속,20ppm 이하,,,,
MAA-0001,Allantoin,건조감량,0.2% 이하,,,,
MAA-0001,Allantoin,강열잔분,0.1% 이하,,,,
MFA-0012,Aloe H15036,성상,황색의투명액상,,,,
MFA-0012,Aloe H15036,냄새,표준품에준함,,,,
MFA-0012,Aloe H15036,굴절률(n20),1.400 ~ 1.490,,,,
MFA-0012,Aloe H15036,비중(d20),0.960 ~ 0.970,,,,
MVA-0009,Aronvis MX,성상,"백색의 파우더, 무취",,,,
MVA-0009,Aronvis MX,건조감량,5% 이하,,,,
MVA-0009,Aronvis MX,pH,8.0 ~ 10.0,,,,
MVA-0009,Aronvis MX,점도,200~400,,,,
MVA-0009,Aronvis MX,강열잔분,66.0 ~ 76.0,,,,
MVA-0008,Aristoflex BLV,성상,"백색의분말, 무취",,,,
MVA-0008,Aristoflex BLV,pH,4.0 ~ 6.0,,,,
MVA-0008,Aristoflex BLV,수분함량,7.0 이하,,,,
MAB-0004,Biolac,성상,"연한갈색투명액,특이취",,,,
MAB-0004,Biolac,P H,2 이하,,,,
MAB-0004,Biolac,비중(d20),1.100 ~ 1.250,,,,
MAB-0004,Biolac,중금속,10ppm 이하,,,,
MAB-0004,Biolac,건조잔분,45% 이상,,,,
MAB-0004,Biolac,미생물,100Cfu/g 이하,,,,
MCB-0002,Blue No.1,성상,금속성광택을가진적자색과립또는분말,,,,
MCB-0002,Blue No.1,중금속,20ppm 이하,,,,
MCB-0002,Blue No.1,비소,2ppm 이하,,,,
MCB-0002,Blue No.1,건조감량,10.0% 이하,,,,
MFB-0009,BTS 08346,성상,레몬색의투명액상,,,,
MFB-0009,BTS 08346,냄새,표준품에준함,,,,
MFB-0009,BTS 08346,비중(d20),0.987 ~ 0.997,,,,
MFB-0009,BTS 08346,굴절률(n20),1.503 ~ 1.514,,,,
MFB-0014,Body Cleanser A15385,성상,연황색 ~ 황색투명액상,,,,
MFB-0014,Body Cleanser A15385,냄새,표준품에준함,,,,
MFB-0014,Body Cleanser A15385,비중(d20),0.910 ~ 0.930,,,,
MFB-0014,Body Cleanser A15385,굴절률(n20),1.460 ~ 1.480,,,,
MFB-0016,Body Cleanser A15194,성상,연황색의 투명액상,,,,
MFB-0016,Body Cleanser A15194,냄새,표준품에준함,,,,
MFB-0016,Body Cleanser A15194,비중(d20),0.960 ~ 0.970,,,,
MFB-0016,Body Cleanser A15194,굴절률(n20),1.490 ~ 1.500,,,,
MFB-0017,Body Cleanser A15752,성상,연황색의 투명액상,,,,
MFB-0017,Body Cleanser A15752,냄새,표준품에준함,,,,
MFB-0017,Body Cleanser A15752,비중(d20),0.950 ~ 0.954,,,,
MFB-0017,Body Cleanser A15752,굴절률(n20),1.480 ~ 1.490,,,,
MFB-0019,Body Care HP-73035,성상,연황색의 투명액상,,,,
MFB-0019,Body Care HP-73035,냄새,표준품에준함,,,,
MFB-0019,Body Care HP-73035,비중(d20),0.915 ~ 0.985,,,,
MFB-0019,Body Care HP-73035,굴절률(n20),1.464 ~ 1.474,,,,
MFB-0020,Body Care E15284,성상,연황색의 투명액상,,,,
MFB-0020,Body Care E15284,냄새,표준품에준함,,,,
MFB-0020,Body Care E15284,비중(d20),0.850 ~ 0.880,,,,
MFB-0020,Body Care E15284,굴절률(n20),1.460 ~ 1.480,,,,
MFB-0021,Body Oil F15295,성상,무색투명액상,,,,
MFB-0021,Body Oil F15295,냄새,표준품에준함,,,,
MFB-0021,Body Oil F15295,비중(d20),0.980 ~ 0.990,,,,
MFB-0021,Body Oil F15295,굴절률(n20),1.460 ~ 1.470,,,,
MFB-0022,Body Cleanser 70822,성상,연황색투명액상,,,,
MFB-0022,Body Cleanser 70822,냄새,표준품에준함,,,,
MFB-0022,Body Cleanser 70822,비중(d20),0.951 ~ 0.961,,,,
MFB-0022,Body Cleanser 70822,굴절률(n20),1.484 ~ 1.494,,,,
MFB-0024,Body Care 71021,성상,연황색의투명액상,,,,
MFB-0024,Body Care 71021,냄새,표준품에준함,,,,
MFB-0024,Body Care 71021,비중(d20),0.931 ± 0.01,,,,
MFB-0024,Body Care 71021,굴절률(n20),1.463 ± 0.005,,,,
MFB-0025,Body Care 71008,성상,무색투명액상,,,,
MFB-0025,Body Care 71008,냄새,표준품에준함,,,,
MFB-0025,Body Care 71008,비중(d20),0.995 ~ 1.015,,,,
MFB-0025,Body Care 71008,굴절률(n20),1.505 ~ 1.515,,,,
MFB-0026,Body Care 71247,성상,연황색의투명액상,,,,
MFB-0026,Body Care 71247,냄새,표준품에준함,,,,
MFB-0026,Body Care 71247,비중(d20),0.997 ~ 1.017,,,,
MFB-0026,Body Care 71247,굴절률(n20),1.509 ~ 1.519,,,,
MFB-0027,Blueberry 70939,성상,무색의 투명액상,,,,
MFB-0027,Blueberry 70939,냄새,표준품에준함,,,,
MFB-0027,Blueberry 70939,비중(d20),0.960 ~ 0.980,,,,
MFB-0027,Blueberry 70939,굴절률(n20),1.443 ~ 1.453,,,,
MFB-0029,Body Care 73126,성상,연황색의투명액상,,,,
MFB-0029,Body Care 73126,냄새,표준품에준함,,,,
MFB-0029,Body Care 73126,비중(d20),0.987 ~ 1.007,,,,
MFB-0029,Body Care 73126,굴절률(n20),1.497 ~ 1.507,,,,
MFB-0030,Body Care 73121,성상,연황색의투명액상,,,,
MFB-0030,Body Care 73121,냄새,표준품에준함,,,,
MFB-0030,Body Care 73121,비중(d20),0.898 ~ 0.918,,,,
MFB-0030,Body Care 73121,굴절률(n20),1.464 ~ 1.474,,,,
MFB-0031,Balm Mint 80961,성상,연황색의투명액상,,,,
MFB-0031,Balm Mint 80961,냄새,표준품에준함,,,,
MFB-0031,Balm Mint 80961,비중(d20),0.854 ~ 0.894,,,,
MFB-0031,Balm Mint 80961,굴절률(n20),1.442 ~ 1.482,,,,
MFB-0032,"Body Care 73625
(모링가2)",성상,연황색의투명액상,,,,
MFB-0032,"Body Care 73625
(모링가2)",냄새,표준품에준함,,,,
MFB-0032,"Body Care 73625
(모링가2)",비중(d20),0.982 ~ 1.002,,,,
MFB-0032,"Body Care 73625
(모링가2)",굴절률(n20),1.493 ~ 1.503,,,,
MOB-0002,Borage Oil,성상,"황색의투명한액,특이취",,,,
MOB-0002,Borage Oil,산가,0.6 이하,,,,
MOB-0002,Borage Oil,중금속,20ppm 이하,,,,
MOB-0002,Borage Oil,비소,2ppm 이하,,,,
MOB-0004,"Buriti Oil
(Refinde,RF3810)",성상,연갈색의 점액상,,,,
MOB-0004,"Buriti Oil
(Refinde,RF3810)",냄새,표준품에 준함,,,,
MOB-0004,"Buriti Oil
(Refinde,RF3810)",비중(d20),0.800 ~ 0.980,,,,
MOB-0004,"Buriti Oil
(Refinde,RF3810)",산가,2 이하,,,,
MOB-0004,"Buriti Oil
(Refinde,RF3810)",요오드가,80 ~ 150,,,,
MOB-0004,"Buriti Oil
(Refinde,RF3810)",용해상태,이 원료 5g을물 100ml 넣어 녹일 때 안 녹고 에탄올에 조금 녹으며 아세톤에 녹일때 맑아야한다.,,,,
MPB-0001,BHT,성상,무색~백색의결정성가루,,,,
MPB-0001,BHT,융점(℃),68.5 ~ 71,,,,
MPB-0001,BHT,중금속,40ppm 이하,,,,
MPB-0001,BHT,수분,0.2% 이하(0.5g),,,,
MPB-0001,BHT,강열잔분,0.05% 이하(2g 제2법),,,,
MPB-0001,BHT,용해상태,이 원료 1.0g에 에탄올 10ml을 넣어 녹일때 액은 무색이며 맑아야 한다.,,,,
MVB-0001,Bio Sodium Hyaluronate,성상,"백색가루, 특이취",,,,
MVB-0001,Bio Sodium Hyaluronate,P H,68.5 ~ 71,,,,
MVB-0001,Bio Sodium Hyaluronate,점도,"700 ~ 1,500",,,,
MVB-0001,Bio Sodium Hyaluronate,중금속,10ppm 이하,,,,
MVB-0001,Bio Sodium Hyaluronate,비소,2ppm 이하,,,,
MVB-0001,Bio Sodium Hyaluronate,건조감량,10% 이하,,,,
MVB-0001,Bio Sodium Hyaluronate,강열잔분,10% 이하,,,,
MVB-0003,Benton Gel VS-5PCV,성상,담황색의 크림상,,,,
MVB-0003,Benton Gel VS-5PCV,경도(℃),110 ~ 140 dyne/cm2,,,,
MDB-0002,BBC Color Base(#23),성상,연한갈색의 파우더상,,,,
MDB-0002,BBC Color Base(#23),P H,5.00 ~ 8.00,,,,
MDB-0002,BBC Color Base(#23),중금속,20 ppm이하,,,,
MDB-0002,BBC Color Base(#23),비소,5 ppm이하,,,,
MFB-0034,Black Volume FY10014377,성상,연황색~황색의투명액상,,,,
MFB-0034,Black Volume FY10014377,냄새,표준품에준함,,,,
MFB-0034,Black Volume FY10014377,비중(d20),0.970 ~ 0.990,,,,
MFB-0034,Black Volume FY10014377,굴절률(n20),1.475 ~ 1.495,,,,
MSB-0004,Biocare R,성상,엷은황색의왁스플레이트상,,,,
MSB-0004,Biocare R,P H,5.600 ~ 7.600,,,,
MSB-0004,Biocare R,융점(℃),54 ~ 60,,,,
MSB-0004,Biocare R,건조감량,4.5% 이하,,,,
MSB-0004,Biocare R,중금속,20 ppm이하,,,,
MSB-0004,Biocare R,비소,2 ppm이하,,,,
MSB-0003,Biophilic H,성상,연황색 납구상모양,,,,
MSB-0003,Biophilic H,P H,4.00 ~ 6.00,,,,
MSB-0003,Biophilic H,융점(℃),65 ~ 68,,,,
MSB-0003,Biophilic H,요오드가,3 이하,,,,
MSB-0003,Biophilic H,수분,2% 이하,,,,
MFB-0035,Body Care 74832,성상,연황색의투명액상,,,,
MFB-0035,Body Care 74832,냄새,표준품에준함,,,,
MFB-0035,Body Care 74832,비중(d20),0.950 ~ 0.970,,,,
