ingredient_code,file_type,original_filename,file_path,file_size
MAA-0001,COA,MAA-0001_ALLANTOIN(CLARIANT)-COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0001_ALLANTOIN(CLARIANT)-COA.pdf,536923
MAA-0001,COA,MAA-0001_ALLANTOIN(CLARIANT)영문_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0001_ALLANTOIN(CLARIANT)영문_COA.pdf,536923
MAA-0001,COA,MAA-0001_Allantoin.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0001_Allantoin.pdf,478882
MAA-0001,COA,MAA-0001_ALLANTOIN_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0001_ALLANTOIN_COA.pdf,247148
MAA-0001,COA,MAA-0001_Allantoin_Wuhu_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0001_Allantoin_Wuhu_COA.pdf,55191
MAA-0002,COA,MAA-0002_알로에베라 추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0002_알로에베라 추출물.pdf,659502
MAA-0002,COA,MAA-0002_알로에베라추출물 (BG)_ COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0002_알로에베라추출물 (BG)_ COA.pdf,143445
MAA-0017,COA,MAA-0017_알부틴 (Albutin)0001.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0017_알부틴 (Albutin)0001.pdf,445438
MAA-0021,COA,MAA-0021_adenosine COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0021_adenosine COA.pdf,121143
MAA-0021,COA,MAA-0021_Adenosine_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0021_Adenosine_COA.pdf,296719
MAA-0021,COA,MAA-0021_COA(Adenosine)_20211216.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0021_COA(Adenosine)_20211216.pdf,136328
MAA-0024,COA,MAA-0024_아카시아추출물-NP_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0024_아카시아추출물-NP_COA.pdf,284949
MAA-0026,COA,MAA-0026_레몬밤추출물(C0AA0B-000A)COA_T0R0.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0026_레몬밤추출물(C0AA0B-000A)COA_T0R0.pdf,273571
MAA-0026,COA,MAA-0026_레몬밤추출물(C0AA0B-000A)영문 COA_T1R0.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0026_레몬밤추출물(C0AA0B-000A)영문 COA_T1R0.pdf,616934
MAA-0028,COA,MAA-0028_Azura 3 Complex0001.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0028_Azura 3 Complex0001.pdf,684063
MAA-0028,COA,MAA-0028_Azura 3 Complex0001_coa.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0028_Azura 3 Complex0001_coa.pdf,279799
MAA-0028,COA,MAA-0028_Azure 3 Complex_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0028_Azure 3 Complex_영문 COA.pdf,415372
MAA-0030,COA,MAA-0030_안젤리카추출물(CA0B0D-000C)COA_T1R0.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0030_안젤리카추출물(CA0B0D-000C)COA_T1R0.pdf,368490
MAA-0032,COA,MAA-0032_아로니아열매 추출물 H.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0032_아로니아열매 추출물 H.pdf,635293
MAA-0032,COA,MAA-0032_아로니아열매추출물 H_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0032_아로니아열매추출물 H_영문COA.pdf,224840
MAA-0033,COA,MAA-0033_악마의발톱뿌리추출물-PF.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0033_악마의발톱뿌리추출물-PF.pdf,612338
MAA-0034,COA,MAA-0034_은행나무잎추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0034_은행나무잎추출물.pdf,610889
MAA-0034,COA,MAA-0034_은행나무잎추출물_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0034_은행나무잎추출물_COA.pdf,129644
MAA-0035,COA,MAA-0035_Amino Acid Solution_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0035_Amino Acid Solution_COA.pdf,395456
MAA-0035,COA,MAA-0035_Amino Acid Solution_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0035_Amino Acid Solution_영문 COA.pdf,414766
