ingredient_code,file_type,original_filename,storage_path,public_url,status,error,file_size
MAA-0001,COA,MAA-0001_Allantoin_Wuhu_COA.pdf,MAA-0001/COA/MAA-0001_COA_005.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_005.pdf,skipped,,55191
MAA-0002,COA,MAA-0002_알로에베라추출물 (BG)_ COA.pdf,MAA-0002/COA/MAA-0002_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0002/COA/MAA-0002_COA_002.pdf,skipped,,143445
MAA-0001,COA,MAA-0001_ALLANTOIN_COA.pdf,MAA-0001/COA/MAA-0001_COA_004.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_004.pdf,skipped,,247148
MAA-0002,COA,MAA-0002_알로에베라 추출물.pdf,MAA-0002/COA/MAA-0002_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0002/COA/MAA-0002_COA_001.pdf,skipped,,659502
MAA-0001,COA,MAA-0001_ALLANTOIN(CLARIANT)영문_COA.pdf,MAA-0001/COA/MAA-0001_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_002.pdf,skipped,,536923
MAA-0017,COA,MAA-0017_알부틴 (Albutin)0001.pdf,MAA-0017/COA/MAA-0017_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0017/COA/MAA-0017_COA_001.pdf,skipped,,445438
MAA-0001,COA,MAA-0001_ALLANTOIN(CLARIANT)-COA.pdf,MAA-0001/COA/MAA-0001_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_001.pdf,skipped,,536923
MAA-0001,COA,MAA-0001_Allantoin.pdf,MAA-0001/COA/MAA-0001_COA_003.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_003.pdf,skipped,,478882
MAA-0021,COA,MAA-0021_adenosine COA.pdf,MAA-0021/COA/MAA-0021_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COA/MAA-0021_COA_001.pdf,skipped,,121143
MAA-0026,COA,MAA-0026_레몬밤추출물(C0AA0B-000A)영문 COA_T1R0.pdf,MAA-0026/COA/MAA-0026_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0026/COA/MAA-0026_COA_002.pdf,skipped,,616934
MAA-0026,COA,MAA-0026_레몬밤추출물(C0AA0B-000A)COA_T0R0.pdf,MAA-0026/COA/MAA-0026_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0026/COA/MAA-0026_COA_001.pdf,skipped,,273571
