ingredient_code,coa_urls,coa_count,composition_urls,composition_count,msds_kr_urls,msds_kr_count,msds_en_urls,msds_en_count,total_files
MAA-0001,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_005.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_004.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_003.pdf""]",5,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COMP/MAA-0001_COMP_001.pdf""]",1,[],0,[],0,6
MAA-0002,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0002/COA/MAA-0002_COA_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0002/COA/MAA-0002_COA_001.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0002/COMP/MAA-0002_COMP_001.pdf""]",1,[],0,[],0,3
MAA-0017,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0017/COA/MAA-0017_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0017/COMP/MAA-0017_COMP_001.pdf""]",1,[],0,[],0,2
MAA-0021,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COA/MAA-0021_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COA/MAA-0021_COA_003.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COA/MAA-0021_COA_002.pdf""]",3,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COMP/MAA-0021_COMP_001.pdf""]",1,[],0,[],0,4
MAA-0022,[],0,[],0,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0022/MSDS_EN/MAA-0022_MSDS_EN_001.pdf""]",1,1
MAA-0024,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0024/COA/MAA-0024_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0024/COMP/MAA-0024_COMP_001.pdf""]",1,[],0,[],0,2
MAA-0025,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0025/COMP/MAA-0025_COMP_001.pdf""]",1,[],0,[],0,1
MAA-0026,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0026/COA/MAA-0026_COA_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0026/COA/MAA-0026_COA_001.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0026/COMP/MAA-0026_COMP_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0026/COMP/MAA-0026_COMP_002.pdf""]",2,[],0,[],0,4
MAA-0027,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0027/COMP/MAA-0027_COMP_001.pdf""]",1,[],0,[],0,1
MAA-0028,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COA/MAA-0028_COA_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COA/MAA-0028_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COA/MAA-0028_COA_003.pdf""]",3,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COMP/MAA-0028_COMP_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COMP/MAA-0028_COMP_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COMP/MAA-0028_COMP_003.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COMP/MAA-0028_COMP_004.pdf""]",4,[],0,[],0,7
MAA-0029,[],0,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0029/MSDS_KR/MAA-0029_MSDS_KR_001.pdf""]",1,[],0,1
MAA-0030,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0030/COA/MAA-0030_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0030/COMP/MAA-0030_COMP_001.pdf""]",1,[],0,[],0,2
MAA-0031,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0031/COMP/MAA-0031_COMP_001.pdf""]",1,[],0,[],0,1
MAA-0032,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0032/COA/MAA-0032_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0032/COA/MAA-0032_COA_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0032/COMP/MAA-0032_COMP_001.pdf""]",1,[],0,[],0,3
MAA-0033,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0033/COA/MAA-0033_COA_001.pdf""]",1,[],0,[],0,[],0,1
MAA-0034,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0034/COA/MAA-0034_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0034/COA/MAA-0034_COA_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0034/COMP/MAA-0034_COMP_001.pdf""]",1,[],0,[],0,3
MAA-0035,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0035/COA/MAA-0035_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0035/COA/MAA-0035_COA_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0035/COMP/MAA-0035_COMP_001.pdf""]",1,[],0,[],0,3
MAA-0036,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0036/COA/MAA-0036_COA_001.pdf""]",1,[],0,[],0,[],0,1
MAA-0037,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0037/COA/MAA-0037_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0037/COMP/MAA-0037_COMP_001.pdf""]",1,[],0,[],0,2
