id,ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin,created_at
00326cda-2956-498e-93de-96c23b6f604e,MAY-0011,3,Sophora Angustifolia Root Extract,도둑놈의지팡이뿌리추출물,84775-52-0,1.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0040dc94-5ead-4aca-a945-acebb6aeeaa2,MAJ-0003,2,Propanediol,프로판다이올,504-63-2,40.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
005502e7-aa2c-49de-8e80-c7ce00bdbd40,MFS-0112,2,Citrus Limon (Lemon) Peel Oil,레몬껍질오일,8008-56-8,19.3890,Skin Conditioning Agent,대한민국,2026-01-28 16:37:18.006524+00
009fb8eb-c2b4-4c95-be6d-6311dc877cce,MFS-0080,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:18.006524+00
00bbfaae-5f46-4edd-8cfe-393cc9f4b5cb,MAL-0019,6,Euterpe Oleracea Fruit Extract,아사이팜열매추출물,,2.5000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
00c6f863-5e8f-4496-92a4-0b54c9e248e7,MFM-0019,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
00dc7d35-d7d1-4195-8200-04520287b838,MAH-0025,5,Sodium Acetylated Hyaluronate,소듐아세틸레이티드하이알루로네이트,ㅡ,0.0010,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
00e964ae-8e2b-41f5-8f16-c32d66d6a90a,MFB-0103,1,Fragrance,향료,,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
00ecf270-eae9-4c21-98a5-c14ed2aac00b,MAM-0001,3,Calendula Officinalis Flower Extract,포트마리골드꽃추출물,84776-23-8,5.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
00f6dc48-5306-4499-bac8-a98141040e46,MAN-0009,4,"1,2-Hexanediol","1,2-헥산다이올",6920-22-5,2.5000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
