prdcode,product_name,semi_product_code,p_product_code,category,bom_version,status,notes,created_at,updated_at
ADML000,케어미 어르신 전용 고보습 바디로션,BADML0000,PADML0000,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
ADMLM00,케어미 어르신 전용 고보습 바디로션,BADML0000,PADMLM000,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AJBC002,케어미 어르신 전용 데오 바디워시,BAJBC0020,PAJBC0020,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AJSP002,케어미 어르신 전용 아르간 단백질 샴푸&린스,BAJSP0020,PAJSP0020,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
ANBC001,애스톤네이처 프로방스 상떼 바디클렌저 - 유칼립투스티,,PANBC0010,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
ANBC003,애스톤네이처 프로방스 상떼 바디클렌저 - 아로마틱 라벤더,,PANBC0030,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBC000,샤샤 아르간 오일 바디워시,BAOBC0000,PAOBC0000,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBC001,샤샤 밀크앤허니 바디워시- 듀이 플로럴,BAOBC0010,PAOBC0010,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBC002,샤샤 밀크앤허니 바디워시- 쥬이시 그레이프프룻,BAOBC0020,PAOBC0020,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBC003,샤샤 밀크앤허니 바디워시- 소프트 머스크,BAOBC0030,PAOBC0030,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBC004,샤샤 알로에베라 바디워시,BAOBC0040,PAOBC0040,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBC005,샤샤 아르간 오일 진저 쿨링 케어 바디워시,BAOBC0050,PAOBC0050,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBCM03,샤샤 밀크앤허니 바디워시- 소프트 머스크,BAOBC0030,PAOBCM030,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBL000,샤샤 아르간 오일 바디로션,BAOBL0000,PAOBL0000,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBL001,샤샤 밀크앤허니 바디로션- 듀이 플로럴,BAOBL0010,PAOBL0010,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBL002,샤샤 밀크앤허니 바디로션- 쥬이시 그레이프프룻,BAOBL0020,PAOBL0020,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBL003,샤샤 밀크앤허니 바디로션- 소프트 머스크,BAOBL0030,PAOBL0030,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBL004,샤샤 알로에베라 바디로션,BAOBL0040,PAOBL0040,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBL005,샤샤 세라 데오 바디로션,BAOBL0050,PAOBL0050,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOBLM03,샤샤 밀크앤허니 바디로션- 소프트 머스크,BAOBL0030,PAOBLM030,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOFC001,샤샤 녹두 시카 클렌징 폼,BAOFC0010,PAOFC0010,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOFC002,샤샤 라이스 크림 클렌징 폼,BAOFC0020,PAOFC0020,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOHA001,샤샤 아르간오일 단백질 헤어 앰플,BAOHA0010,PAOHA0010,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
AOHA5T1,샤샤 아르간오일 단백질 헤어 앰플 (세트),BAOHA0010,PAOHAM010,[반제품],기본,active,,2026-01-29 16:49:48.867582+00,2026-01-29 16:49:48.867582+00
