공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
고려에프엔에프,A63454,AIR FRESHNER A63454,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,0.00056,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,0.00258,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,AMYL CINNAMYL ALCOHOL,AMYL CINNAMYL ALCOHOL,101-85-9,,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,2e-05,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,1.02611,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,0.01114,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,CINNAMAL,CINNAMAL,104-55-2,0.00143,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,0.00978,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,CITRAL,CITRAL,5392-40-5,0.01702,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,CITRONELLOL,CITRONELLOL,106-22-9,1.17284,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,COUMARINE,COUMARINE,91-64-5,,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,d-LIMONENE,d-LIMONENE,5989-27-5,1.08167,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,EUGENOL,EUGENOL,97-53-0,0.00056,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,FARNESOL,FARNESOL,4602-84-0,,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,GERANIOL,GERANIOL,106-24-1,0.19367,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,HEXYL CINNAM-ALDEHYDE,HEXYL CINNAM-ALDEHYDE,101-86-0,1.59314,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,1.66505,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,ISOEUGENOL,ISOEUGENOL,97-54-1,0.00065,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,LINALOOL,LINALOOL,78-70-6,5.83911,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,LYRAL,LYRAL,31906-04-4,0.99518,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,LYSMERAL,LYSMERAL,80-54-6,3.87931,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,METHYL HEPTIN CARBONATE,METHYL HEPTIN CARBONATE,111-12-6,,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,OAK MOSS EXTRACT,OAK MOSS EXTRACT,90028-68-5,,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A63454,AIR FRESHNER A63454,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,AIR FRESHNER A63454_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,AMYL CINNAMYL ALCOHOL,AMYL CINNAMYL ALCOHOL,101-85-9,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,CINNAMAL,CINNAMAL,104-55-2,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
고려에프엔에프,A73993,BODY WASH A73993,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,BODY WASH A73993_ALLERGY DATA.xlsx
