공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
도터라인,,Bergamot Oil,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,CINNAMAL,CINNAMAL,104-55-2,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,CITRAL,CITRAL,5392-40-5,,,NO,NO,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,CITRONELLOL,CITRONELLOL,106-22-9,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,COUMARINE,COUMARINE,91-64-5,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,d-LIMONENE,d-LIMONENE,5989-27-5,,,YES,YES,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,EUGENOL,EUGENOL,97-53-0,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,FARNESOL,FARNESOL,4602-84-0,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,GERANIOL,GERANIOL,106-24-1,,,NO,NO,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,LINALOOL,LINALOOL,78-70-6,,,YES,NO,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,LYRAL,LYRAL,31906-04-4,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,LYSMERAL,LYSMERAL,80-54-6,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Bergamot Oil,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,Bergamot Oil Fragrance Allergen.xlsx
도터라인,,Cypress Oil,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,CINNAMAL,CINNAMAL,104-55-2,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,CITRAL,CITRAL,5392-40-5,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,CITRONELLOL,CITRONELLOL,106-22-9,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,COUMARINE,COUMARINE,91-64-5,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,d-LIMONENE,d-LIMONENE,5989-27-5,,,YES,NO,Cypress Oil.xlsx
도터라인,,Cypress Oil,EUGENOL,EUGENOL,97-53-0,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,FARNESOL,FARNESOL,4602-84-0,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,GERANIOL,GERANIOL,106-24-1,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,LINALOOL,LINALOOL,78-70-6,,,NO,NO,Cypress Oil.xlsx
도터라인,,Cypress Oil,LYRAL,LYRAL,31906-04-4,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,LYSMERAL,LYSMERAL,80-54-6,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,Cypress Oil.xlsx
도터라인,,EUCALYPTUS OIL,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,CINNAMAL,CINNAMAL,104-55-2,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,CITRAL,CITRAL,5392-40-5,,,,,Eucalyptus Oil.xlsx
