공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Alpha-isomethyl Ionone,Alpha-isomethyl Ionone,127-51-5,,,NO,NO,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Amyl Cinnamal,Amyl Cinnamal,122-40-7,,,,,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Amyl Cinamyl Alcohol,Amyl Cinamyl Alcohol,101-85-9,,,,,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Anise Alcohol,Anise Alcohol,105-13-5,,,,,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Benzyl Alcohol,Benzyl Alcohol,100-51-6,,,NO,NO,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Benzyl Benzoate,Benzyl Benzoate,120-51-4,,,NO,NO,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Benzyl Cinnamate,Benzyl Cinnamate,103-41-3,,,,,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Benzyl Salicylate,Benzyl Salicylate,118-58-1,,,NO,NO,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Butylphenyl Methylpropional,Butylphenyl Methylpropional,80-54-6,,,,,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Cinnamal,Cinnamal,104-55-2,,,NO,NO,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Cinnamyl Alcohol,Cinnamyl Alcohol,104-54-1,,,,,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Citral,Citral,5392-40-5,,,NO,NO,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Citronellol,Citronellol,106-22-9,,,NO,NO,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Coumarin,Coumarin,91-64-5,,,NO,NO,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Eugenol,Eugenol,97-53-0,,,NO,NO,24-11539_ALLERGEN 물질 정보 양식.xlsx
서울향료,24-11539,PERFUME COMPOUND SP-24-11539,Evernia furfuracea (Treemoss) Extract,Evernia furfuracea (Treemoss) Extract,90028-67-4,,,,,24-11539_ALLERGEN 물질 정보 양식.xlsx
