공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
키맥스,FR60214837,Art Show FR60214837,Amyl Cinnamic Aldehyde,Amyl Cinnamal,122-40-7,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Benzyl Alcohol,Benzyl Alcohol,100-51-6,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Cinnamic Alcohol,Cinnamyl Alcohol,104-54-1,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Citral,Citral,5392-40-5,6e-05,,NO,NO,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Eugenol,Eugenol,97-53-0,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Hydroxycitronellal,Hydroxycitronellal,107-75-5,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Isoeugenol,Isoeugenol,97-54-1,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Amyl Cinnamic Alcohol,Amyl Cinamyl Alcohol,101-85-9,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Benzyl Salicylate,Benzyl Salicylate,118-58-1,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Cinnamic Aldehyde,Cinnamal,104-55-2,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Coumarin,Coumarin,91-64-5,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Geraniol,Geraniol,106-24-1,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Lyral,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,31906-04-4,0.048,,YES,NO,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Anisyl Alcohol,Anisyl Alcohol,105-13-5,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Benzyl Cinnamate,Benzyl Cinnamate,103-41-3,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Farnesol,Farnesol,4602-84-0,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Lilial ; 2-(4-tert-Butylbenzyl)Propionaldehyde,Butylphenyl Methylpropional,80-54-6,0.078,,YES,NO,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Linalool,Linalool,78-70-6,0,,,,알러지리스트_Art Show A CSN040444.xlsx
키맥스,FR60214837,Art Show FR60214837,Benzyl Benzoate,Benzyl Benzoate,120-51-4,0,,,,알러지리스트_Art Show A CSN040444.xlsx
