공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
타임향료,,COLLAGEN 100813,Alpha Iso Methyl Ionone (Methyl Ionone Gamma),Alpha-Isomethyl Ionone,127-51-5,0.00441,,YES,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Amyl Cinnamic Aldehyde,Amyl Cinnamal,122-40-7,9.5e-05,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Amyl Cinnamic Alcohol,Amyl Cinamyl Alcohol,101-85-9,0,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Anisyl Alcohol,Anisyl Alcohol,105-13-5,0,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Benzyl Alcohol,Benzyl Alcohol,100-51-6,2.5e-05,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Benzyl Benzoate,Benzyl Benzoate,120-51-4,8.5e-05,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Benzyl Cinnamate,Benzyl Cinnamate,103-41-3,0,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Benzyl Salicylate,Benzyl Salicylate,118-58-1,0.008659,,YES,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Lilial,2-(4-tert-Butylbenzyl)Propionaldehyde,80-54-6,0.021415,,YES,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Cinnamic Aldehyde,Cinnamal,104-55-2,0,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Cinnamic Alcohol,Cinnamyl Alcohol,104-54-1,1e-06,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Citral,Citral,5392-40-5,0.001373,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Citronellol,Citronellol,106-22-9,0.002969,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Coumarin,Coumarin,91-64-5,0.00019,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Eugenol,Eugenol,97-53-0,0.000465,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Treemoss Extract,Treemoss Extract,90028-67-4,0,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Oakmoss Extract,Oakmoss Extract,90028-68-5,0,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Farnesol,Farnesol,4602-84-0,0,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Geraniol,Geraniol,106-24-1,0.003769,,YES,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Hexyl Cinnamic Aldehyde,Hexyl cinnam-aldehyde,101-86-0,0.016765,,YES,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Hydroxycitronellal,Hydroxycitronellal,107-75-5,0.004048,,YES,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Lyral,Hydroxymethylpentylcyclohexane Carboxaldehyde,31906-04-4,0,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Isoeugenol,Isoeugenol,97-54-1,2e-06,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,D-Limonene,D-Limonene,5989-27-5,0.033646,,YES,YES,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Linalool,Linalool,78-70-6,0.010299,,YES,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,Folione,Methyl Heptin Carbonate,111-12-6,1.3e-05,,NO,NO,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,* EACH FIGURE IS ROUNDED OFF TO THE SECOND DECIMAL PLACE,* EACH FIGURE IS ROUNDED OFF TO THE SECOND DECIMAL PLACE,,,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,,COLLAGEN 100813,* BLANK MEANS NOT ADDED ARTIFICIALLY,* BLANK MEANS NOT ADDED ARTIFICIALLY,,,,,,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
타임향료,20211221,STELLA 9111358,Alpha Iso Methyl Ionone (Methyl Ionone Gamma),Alpha-Isomethyl Ionone,127-51-5,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Amyl Cinnamic Aldehyde,Amyl Cinnamal,122-40-7,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Amyl Cinnamic Alcohol,Amyl Cinamyl Alcohol,101-85-9,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Anisyl Alcohol,Anisyl Alcohol,105-13-5,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Benzyl Alcohol,Benzyl Alcohol,100-51-6,1.7e-05,,NO,NO,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Benzyl Benzoate,Benzyl Benzoate,120-51-4,0.004525,,YES,NO,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Benzyl Cinnamate,Benzyl Cinnamate,103-41-3,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Benzyl Salicylate,Benzyl Salicylate,118-58-1,5.5e-05,,NO,NO,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Lilial,2-(4-tert-Butylbenzyl)Propionaldehyde,80-54-6,0.0825,,YES,YES,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Cinnamic Aldehyde,Cinnamal,104-55-2,5e-06,,NO,NO,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Cinnamic Alcohol,Cinnamyl Alcohol,104-54-1,0.0005,,YES,NO,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Citral,Citral,5392-40-5,4.8e-05,,NO,NO,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Citronellol,Citronellol,106-22-9,0.025033,,YES,YES,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Coumarin,Coumarin,91-64-5,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Eugenol,Eugenol,97-53-0,0.025003,,YES,YES,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Treemoss Extract,Treemoss Extract,90028-67-4,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Oakmoss Extract,Oakmoss Extract,90028-68-5,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Farnesol,Farnesol,4602-84-0,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Geraniol,Geraniol,106-24-1,0.000839,,YES,NO,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Hexyl Cinnamic Aldehyde,Hexyl cinnam-aldehyde,101-86-0,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Hydroxycitronellal,Hydroxycitronellal,107-75-5,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Lyral,Hydroxymethylpentylcyclohexane Carboxaldehyde,31906-04-4,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Isoeugenol,Isoeugenol,97-54-1,1.2e-05,,NO,NO,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,LIMONENE,LIMONENE,5989-27-5,0.000261,,NO,NO,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Linalool,Linalool,78-70-6,0.045044,,YES,YES,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,Folione,Methyl Heptin Carbonate,111-12-6,0,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,* EACH FIGURE IS ROUNDED OFF TO THE SECOND DECIMAL PLACE,* EACH FIGURE IS ROUNDED OFF TO THE SECOND DECIMAL PLACE,,,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
타임향료,20211221,STELLA 9111358,* BLANK MEANS NOT ADDED ARTIFICIALLY,* BLANK MEANS NOT ADDED ARTIFICIALLY,,,,,,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
