공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,CINNAMAL,CINNAMAL,104-55-2,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,CITRAL,CITRAL,5392-40-5,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,CITRONELLOL,CITRONELLOL,106-22-9,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,COUMARINE,COUMARINE,91-64-5,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,d-LIMONENE,d-LIMONENE,5989-27-5,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,EUGENOL,EUGENOL,97-53-0,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,FARNESOL,FARNESOL,4602-84-0,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,GERANIOL,GERANIOL,106-24-1,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,BODY CARE 95-H15196R ALLERGEN.xlsx
