id,allergen_name,inci_name,cas_no
006bd578-91fd-4e0e-a536-e211e02c5cec,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5
6f4e1b11-60e9-4e71-a82e-4b0f949a89a9,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7
39d9f0e6-a6cf-42a2-9004-08120c481715,AMYL CINNAMYL ALCOHOL,AMYL CINNAMYL ALCOHOL,101-85-9
868617cd-6b4a-4590-bd7f-ef3fa22f6eb5,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5
b5e5bde2-8b68-4fb3-a28b-de83cfb5043f,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6
2e68ac4c-8245-4888-a4ab-06f1bf242951,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4
0ad50bb3-9160-4173-8032-a777e06c7c5b,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3
23a994db-a09f-4f2d-aacc-9d2d642c4c78,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1
a114d5fa-0d0f-41c7-b52c-bcb03e6b7bcf,CINNAMAL,CINNAMAL,104-55-2
d69421e4-4000-460f-ba00-bcb9937a260b,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1
67c99f15-167a-4aa8-b7a2-68d3faf1370e,CITRAL,CITRAL,5392-40-5
a1161fa5-075b-4ca4-a73a-f5e258486013,CITRONELLOL,CITRONELLOL,106-22-9
b31608e4-37b0-48fe-9dc3-8ef901b12896,COUMARINE,COUMARINE,91-64-5
e763595d-2870-4bcb-9e14-7743d4f1e5e1,d-LIMONENE,d-LIMONENE,5989-27-5
db165cd9-51d1-4fc4-91c3-4df66c93f4fe,EUGENOL,EUGENOL,97-53-0
6b6a877a-3260-4923-8695-c6e6f2b5cf0e,FARNESOL,FARNESOL,4602-84-0
fd80214f-d96e-4023-805a-e80740ef8e27,GERANIOL,GERANIOL,106-24-1
b09f97f1-7b86-4138-bff6-006574200b05,HEXYL CINNAM-ALDEHYDE,HEXYL CINNAM-ALDEHYDE,101-86-0
3e129410-5f1a-455f-a411-7ce2cb4fab72,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5
a4b0f562-51cf-4b61-bb17-668ca92afe2f,ISOEUGENOL,ISOEUGENOL,97-54-1
7f1910f0-0e8f-4cb3-8c8b-59af3eec22d2,LINALOOL,LINALOOL,78-70-6
0758c966-c761-4a2e-8d90-e819995343aa,LYRAL,LYRAL,31906-04-4
ad91248d-c692-49e7-8610-b50344f74a54,LYSMERAL,LYSMERAL,80-54-6
3b9366e2-f191-46f8-877d-04f1c8a0a86e,METHYL HEPTIN CARBONATE,METHYL HEPTIN CARBONATE,111-12-6
a441ba50-6b22-4212-ae49-8db580ce6964,OAK MOSS EXTRACT,OAK MOSS EXTRACT,90028-68-5
9c50fb09-2f88-41e8-9ade-bd95352e2fd0,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4
5a3a9378-02bd-4973-919a-e92eb708058c,ANISYL ALCOHOL (Anise Alcohol),ANISYL ALCOHOL (Anise Alcohol),105-13-5
79d7a47d-451c-4c52-9133-d71d0a4f41c2,COUMARINE (Coumarin),COUMARINE (Coumarin),91-64-5
885d3436-469e-4179-8af4-d69e5a5b3200,d-LIMONENE (Limonene),d-LIMONENE (Limonene),5989-27-5
2ef6f567-7013-40ca-a2e7-eb452d661f53,HEXYL CINNAM-ALDEHYDE (Hexyl Cinnamal),HEXYL CINNAM-ALDEHYDE (Hexyl Cinnamal),101-86-0
