ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method,coa_urls,composition_urls,msds_kr_urls,msds_en_urls
MAA-0001,Allantoin,WUHU HUAHAI BIOLOGY ENGINEERING,블루켐,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_005.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_004.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_002.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COA/MAA-0001_COA_003.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0001/COMP/MAA-0001_COMP_001.pdf""}",{},{}
MAA-0002,알로에베라 추출물,인코스,인코스,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0002/COA/MAA-0002_COA_002.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0002/COA/MAA-0002_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0002/COMP/MAA-0002_COMP_001.pdf""}",{},{}
MAA-0016,Anti-Shadow Complex,Ichmaru,한주씨앤씨,무작위,원료실,{},{},{},{}
MAA-0017,알부틴 (Arbutin),엔지켐,썬화인글로벌,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0017/COA/MAA-0017_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0017/COMP/MAA-0017_COMP_001.pdf""}",{},{}
MAA-0018,신선초 추출물(ANGELICA EXT),씨앤비바이오,씨앤비바이오,무작위,원료실,{},{},{},{}
MAA-0020,초과(초도구)추출물,씨앤비바이오,씨앤비바이오,무작위,원료실,{},{},{},{}
MAA-0021,Adenosine(podwer),SHARING,㈜나노젠,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COA/MAA-0021_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COA/MAA-0021_COA_003.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COA/MAA-0021_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COMP/MAA-0021_COMP_001.pdf""}",{},{}
MAA-0022,Aquasilicone,H&A 파마켐,샘스씨앤에스,무작위,원료실,{},{},{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0022/MSDS_EN/MAA-0022_MSDS_EN_001.pdf""}"
MAA-0024,아카시아추출물,내추럴솔루션,내추럴솔루션,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0024/COA/MAA-0024_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0024/COMP/MAA-0024_COMP_001.pdf""}",{},{}
MAA-0025,은행잎추출물,내추럴솔루션,내추럴솔루션,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0025/COMP/MAA-0025_COMP_001.pdf""}",{},{}
