process_id,step_num,step_type,step_name,step_desc,work_time,checker
39c1f31f-b1a8-468a-ba74-0be75de4b030,1,제조공정,청결상태 점 검,"작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
39c1f31f-b1a8-468a-ba74-0be75de4b030,2,제조공정,점증제 분산,"별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
39c1f31f-b1a8-468a-ba74-0be75de4b030,3,제조공정,점증제 분산,"별도용해조에서 정제수에 Pemulen 넣고 Stirrer로 용해한다. (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
39c1f31f-b1a8-468a-ba74-0be75de4b030,4,제조공정,수상 용해,"수상용해조에 11**, 14**을 넣고 78-80℃로 가온용해한다",,
39c1f31f-b1a8-468a-ba74-0be75de4b030,5,제조공정,유상 용해,"유상용해조에 21**, 22**을 넣고 78-80℃로 가온용해한다",,
39c1f31f-b1a8-468a-ba74-0be75de4b030,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다 ( Homo: 3500rpm, P:20rpm, T: 78-80℃ t: 3분 )",,
39c1f31f-b1a8-468a-ba74-0be75de4b030,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다 ( Homo: 3500rpm, P:20rpm, T: 70-75℃ t: 5분 )",,
39c1f31f-b1a8-468a-ba74-0be75de4b030,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
39c1f31f-b1a8-468a-ba74-0be75de4b030,9,제조공정,"향, 첨가제 투입","41**, 51**을 투입교반하고, 냉각,탈포한다",,
39c1f31f-b1a8-468a-ba74-0be75de4b030,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
39c1f31f-b1a8-468a-ba74-0be75de4b030,100,유의사항,작업자 유의사항,*원료투입시 100메쉬 여과 거칠 것,,
24c5d8e7-31bc-4fdb-abee-9faa0d6ebf9f,1,제조공정,청결상태 점 검,"작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
24c5d8e7-31bc-4fdb-abee-9faa0d6ebf9f,2,제조공정,가온 용해,"메인탱크에 원료 11, 12, 21, 31를 넣고 80℃로 가열용해한다. Pad 20rpm",,
24c5d8e7-31bc-4fdb-abee-9faa0d6ebf9f,3,제조공정,냉각개시,위 상의 용해확인 후 원료 41 파트를 투입하고 60℃ 까지 냉각한다.,,
24c5d8e7-31bc-4fdb-abee-9faa0d6ebf9f,4,제조공정,"향, 첨가제, 색소 투입","향과 첨가제, 색소(해당시) 파트를 투입하여 교반한다.",,
24c5d8e7-31bc-4fdb-abee-9faa0d6ebf9f,5,제조공정,여 과 종 료,33-36℃까지 냉각후 100메쉬 여과하여 종료한다.,,
fdcfd490-e85a-4e24-b1ef-b0666900d5be,1,제조공정,청결상태 점 검,"작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
fdcfd490-e85a-4e24-b1ef-b0666900d5be,2,제조공정,점증제 분산,"1110,1120을 Stirrer로 premix한 후 수상용해조에 1210(실온) 와 함께 투입 5분간 분산한다.",,
c0a74620-49a9-4e2d-980f-96bf1a38d193,1,제조공정,청결상태 점 검,"작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
c0a74620-49a9-4e2d-980f-96bf1a38d193,2,제조공정,가온 용해,"메인탱크에 원료 1110, 12**, 13**를 넣고 80℃로 가열용해한다. Pad 20rpm",,
c0a74620-49a9-4e2d-980f-96bf1a38d193,3,제조공정,냉각개시,위 상의 용해확인 후 원료 14** 파트를 투입하고 60℃ 까지 냉각한다.,,
c0a74620-49a9-4e2d-980f-96bf1a38d193,4,제조공정,"향, 첨가제, 색소 투입","향과 첨가제, 색소(해당시) 파트를 투입하여 교반한다.",,
c0a74620-49a9-4e2d-980f-96bf1a38d193,5,제조공정,여 과 종 료,33-36℃까지 냉각후 100메쉬 여과하여 종료한다.,,
6d508400-f72f-4785-94a7-43130883c369,1,제조공정,청결상태 점 검,"작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
6d508400-f72f-4785-94a7-43130883c369,2,제조공정,점증제 분산,"별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
6d508400-f72f-4785-94a7-43130883c369,3,제조공정,점증제 분산,"별도용해조에서 정제수에 Pemulen 넣고 Stirrer로 용해한다. (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
6d508400-f72f-4785-94a7-43130883c369,4,제조공정,수상 용해,"수상용해조에 11**, 12**을 넣고 78-80℃로 가온용해한다",,
6d508400-f72f-4785-94a7-43130883c369,5,제조공정,유상 용해,"유상용해조에 21**, 23**을 넣고 78-80℃로 가온용해한다",,
6d508400-f72f-4785-94a7-43130883c369,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다 ( Homo: 3500rpm, P:20rpm, T: 78-80℃ t: 3분 )",,
6d508400-f72f-4785-94a7-43130883c369,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다 ( Homo: 3500rpm, P:20rpm, T: 70-75℃ t: 5분 )",,
6d508400-f72f-4785-94a7-43130883c369,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
6d508400-f72f-4785-94a7-43130883c369,9,제조공정,"향, 첨가제 투입","41**, 51**을 투입교반하고, 냉각,탈포한다",,
6d508400-f72f-4785-94a7-43130883c369,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
6d508400-f72f-4785-94a7-43130883c369,100,유의사항,작업자 유의사항,*원료투입시 100메쉬 여과 거칠 것,,
dcbf147f-3707-47ea-b8bf-5850a3f12593,1,제조공정,청결상태 점 검,"작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
dcbf147f-3707-47ea-b8bf-5850a3f12593,2,제조공정,점증제 분산,별도용해조에서 Glyerin(1220)에 Esaflor(1210)을 넣고 Premix한다,,
dcbf147f-3707-47ea-b8bf-5850a3f12593,3,제조공정,수상 용해,"수상용해조에 11**, 21**을 넣고 78-80℃로 가온용해한다",,
dcbf147f-3707-47ea-b8bf-5850a3f12593,4,제조공정,유상 용해,유상용해조에 31**를 넣고 78-80℃로 가온용해한다,,
dcbf147f-3707-47ea-b8bf-5850a3f12593,5,제조공정,이 송,메인탱크로 수상을 여과이송하고 STAC-30(2210)을 여과투입하여 혼합교반 한다.,,
dcbf147f-3707-47ea-b8bf-5850a3f12593,6,제조공정,유 화,"메인탱크로 유상을 여과이송후 유화한다 ( Homo: 3500rpm, P:20rpm, T: 78-80℃ t: 10분 )",,
