id,product_code,source_filename,product_name,batch_number,batch_unit,dept_name,actual_qty,mfg_date,operator,approver_1,approver_2,approver_3,notes_content,total_time,special_notes,step_count
39c1f31f-b1a8-468a-ba74-0be75de4b030,ADML000,ADML_케어미 어르신전용 고보습바디로션.xlsx,케어미 어르신 전용 고보습 바디로션,,Kg,,Kg,,,결 재,담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
24c5d8e7-31bc-4fdb-abee-9faa0d6ebf9f,AJBC002,AJBC_케어미 어르신전용데오바디워시.xlsx,케어미 어르신전용 데오 바디워시,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
fdcfd490-e85a-4e24-b1ef-b0666900d5be,AJSP002,AJSP_케어미 어르신전용아르간단백질샴푸&린스.xlsx,케어미 어르신전용 아르간 단백질 샴푸&린스,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
c0a74620-49a9-4e2d-980f-96bf1a38d193,ANBC_____,ANBC_애스톤네이처 프로방스상떼바디클렌저.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
6d508400-f72f-4785-94a7-43130883c369,ANBL_____,ANBL_애스톤네이처 프로방스상떼바디로션.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
dcbf147f-3707-47ea-b8bf-5850a3f12593,ANHP001,ANHP001_애스톤네이처 바오밥퍼퓸헤어팩.xlsx,애스톤네이처 바오밥 퍼퓸 헤어팩,,Kg,,Kg,,,결 재,담 당,부서장,,,,9
2c7da7b0-a875-4b35-b4bb-3d4fb27300bb,ANSP001,ANSP001_애스톤네이처 바오밥퍼퓸헤어샴푸.xlsx,애스톤네이처 바오밥 퍼퓸 헤어샴푸,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
ef126d89-a76b-42f2-a653-e122a662e64b,AOBC005,AOBC005_샤샤 아르간오일 진저 쿨링 케어 바디워시 공정.xlsx,샤샤 아르간 오일 진저 쿨링 케어 바디워시,,Kg,,Kg,,,결 재,담 당,부서장,투명점성액상,,,8
63dc2857-b71e-4ecc-9fd3-00ee69333361,AOBC004,AOBC_샤샤 바디워시.xlsx,샤샤 알로에베라 바디워시,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
02d3dbae-6b7b-4d54-81f4-968beb1e0fdf,AOBL_______,AOBL_샤샤 바디로션.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
785fd0d8-158c-469c-bb3d-af175bd3349d,AOFC______,AOFC_샤샤 클렌징폼 공정.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*일정 점/경도가 생성되기 전까지 냉각 교반할 것.,,,8
37cd601c-cc64-4fee-aaf9-b21009b2853e,AOHA001,AOHA001_샤샤 아르간오일단백질헤어앰플.xlsx,샤샤 아르간오일 단백질 헤어 앰플,,Kg,,Kg,,,결 재,담 당,부서장,* 부상전 품질관리팀에 확인 거칠 것 (점도확인),,,7
e7051358-f0e9-414c-b274-88bbae70488b,AOHE001,AOHE_샤샤 아르간오일웨이브볼륨에센스.xlsx,샤샤 아르간오일 웨이브 볼륨 에센스,,Kg,,Kg,,,결 재,담 당,부서장,,,,8
01a55478-2fab-421a-a3b6-868d22d1923c,AOHSR00 (BAOHS000),AOHSR_샤샤 아르간오일헤어세럼.xlsx,샤샤 아르간 오일 헤어 세럼,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
98b74bf4-0656-4e38-b048-b962592ef295,AORS001,AORS_샤샤 아르간오일컨디셔너.xlsx,샤샤 아르간 오일 LPP 헤어팩,,Kg,,Kg,,,결 재,담 당,부서장,,,,9
af561eaf-d82b-415a-9ebd-7823d2c5a585,AOSP003,AOSP_샤샤 아르간오일샴푸.xlsx,샤샤 아르간오일 어성초 캡슐 스크럽 샴푸,,Kg,,Kg,,,결 재,담 당,부서장,- 3일 이상 숙성하여 자연탈포할 것.,,,9
06f50d1f-b5bf-4c45-a484-e2e445dbdb66,AOWS000,AOWS_샤샤 아르간오일슈퍼하드워터스프레이.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
434fbafa-5af9-427d-b7f4-405402b4b98d,ARFC______,ARFC_에바스 아로마폼클렌져.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*일정 점/경도가 생성되기 전까지 교반을 종료하지 말 것,,,8
efb44ffc-d0d7-403e-83f6-60d7f1ce1b9b,BBHC_____,BBHC_바바리라 퍼퓸드핸드크림.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
