product_code,sequence_no,ingredient_code,content_ratio
FJSL002,1,MXD-0002,85.6199
FJSL002,2,MK1-0001,4.5
FJSL002,3,MXE-0002,4.0
FJSL002,4,MKG-0001,2.0
FJSL002,5,MKH-0005,1.0
FJSL002,6,MVS-0005,0.55
FJSL002,7,MPS-0002,0.4
FJSL002,8,MXS-0008,0.3
FJSL002,9,MPE-0002,0.2
FJSL002,10,MKA-0001,0.1
FJSL002,11,MAM-0030,0.1
FJSL002,12,MKH-0006,0.1
FJSL002,13,MAB-0014,0.1
FJSL002,14,MAY-0007,0.1
FJSL002,15,MAM-0027,0.1
FJSL002,16,MAL-0022,0.1
FJSL002,17,MAR-0015,0.1
FJSL002,18,MAI-0005,0.1
FJSL002,19,MAB-0016,0.1
FJSL002,20,MXC-0001,0.05
FJSL002,21,MAL-0019,0.05
FJSL002,22,MAF-0006,0.05
FJSL002,23,MAS-0021,0.05
FJSL002,24,MAE-0013,0.05
FJSL002,25,MAG-0009,0.05
FJSL002,26,MAG-0021,0.05
FJSL002,27,MXE-0001,0.03
FJSL002,28,MXG-0003,0.02
FJSL002,29,MXL-0001,0.02
FJSL002,30,MAD-0002,0.01
FJSL002,31,MAS-0003,0.0001
FJCRM03,1,MXD-0002,38.26
FJCRM03,2,MAS-0032,20.0
FJCRM03,3,MOM-0004,10.0
FJCRM03,4,MK1-0001,6.0
FJCRM03,5,MON-0004,5.0
FJCRM03,6,MWL-0001,4.5
FJCRM03,7,MWE-0002,3.0
FJCRM03,8,MOD-0008,3.0
FJCRM03,9,MSO-0006,2.5
FJCRM03,10,MK1-0002,1.0
FJCRM03,11,MVA-0007,0.8
FJCRM03,12,MAL-0022,0.8
FJCRM03,13,MAR-0015,0.8
FJCRM03,14,MAI-0005,0.8
FJCRM03,15,MAB-0016,0.8
FJCRM03,16,MPS-0002,0.6
FJCRM03,17,MSK-0001,0.5
FJCRM03,18,MWS-0001,0.5
FJCRM03,19,MVA-0005,0.35
FJCRM03,20,MAF-0006,0.1
FJCRM03,21,MAS-0021,0.1
FJCRM03,22,MAE-0013,0.1
FJCRM03,23,MAG-0009,0.1
FJCRM03,24,MAG-0021,0.1
FJCRM03,25,MAM-0027,0.1
FJCRM03,26,MPL-0001,0.06
FJCRM03,27,MAV-0002,0.05
FJCRM03,28,MAC-0018,0.03
FJCRM03,29,MFB-0075,0.03
FJCRM03,30,MXE-0001,0.02
FJCR003,1,MXD-0002,38.26
FJCR003,2,MAS-0032,20.0
FJCR003,3,MOM-0004,10.0
FJCR003,4,MK1-0001,6.0
FJCR003,5,MON-0004,5.0
FJCR003,6,MWL-0001,4.5
FJCR003,7,MWE-0002,3.0
FJCR003,8,MOD-0008,3.0
FJCR003,9,MSO-0006,2.5
FJCR003,10,MK1-0002,1.0
FJCR003,11,MVA-0007,0.8
FJCR003,12,MAL-0022,0.8
FJCR003,13,MAR-0015,0.8
FJCR003,14,MAI-0005,0.8
FJCR003,15,MAB-0016,0.8
FJCR003,16,MPS-0002,0.6
FJCR003,17,MSK-0001,0.5
FJCR003,18,MWS-0001,0.5
FJCR003,19,MVA-0005,0.35
FJCR003,20,MAF-0006,0.1
FJCR003,21,MAS-0021,0.1
FJCR003,22,MAE-0013,0.1
FJCR003,23,MAG-0009,0.1
FJCR003,24,MAG-0021,0.1
FJCR003,25,MAM-0027,0.1
FJCR003,26,MPL-0001,0.06
FJCR003,27,MAV-0002,0.05
FJCR003,28,MAC-0018,0.03
FJCR003,29,MFB-0075,0.03
FJCR003,30,MXE-0001,0.02
FJPK001,1,MXD-0002,47.91700000000001
FJPK001,2,MSM-0013,12.0
FJPK001,3,MKG-0001,9.0
FJPK001,4,MVA-0006,8.0
FJPK001,5,MSM-0023,8.0
FJPK001,6,MXM-0006,6.5
FJPK001,7,MSP-0005,6.0
FJPK001,8,MKM-0004,0.5
FJPK001,9,MPS-0003,0.4
FJPK001,10,MXN-0004,0.36
FJPK001,11,MFS-0062,0.35
FJPK001,12,MAB-0012,0.2
FJPK001,13,MVK-0001,0.12
FJPK001,14,MPL-0001,0.1
FJPK001,15,MAT-0012,0.1
FJPK001,16,MAB-0015,0.1
FJPK001,17,MAS-0034,0.1
FJPK001,18,MAY-0007,0.1
FJPK001,19,MAT-0011,0.1
FJPK001,20,MXD-0001,0.01
FJPK001,21,MAF-0006,0.01
FJPK001,22,MAS-0021,0.01
FJPK001,23,MAE-0013,0.01
FJPK001,24,MAS-0029,0.01
FJPK001,25,MXC-0001,0.001
FJPK001,26,MXL-0001,0.001
FJPK001,27,MXS-0001,0.001
MLDM029,1,MXD-0002,83.29
MLDM029,2,MKE-0001,12.0
MLDM029,3,MSE-0025,2.2
MLDM029,4,MKG-0001,1.0
MLDM029,5,MFS-0099,0.8
MLDM029,6,MPP-0005,0.7
MLDM029,7,MAP-0031,0.01
MLDM030,1,MXD-0002,83.29
MLDM030,2,MKE-0001,12.0
MLDM030,3,MSE-0025,2.2
MLDM030,4,MKG-0001,1.0
MLDM030,5,MFS-0099,0.8
MLDM030,6,MPP-0005,0.7
MLDM030,7,MAP-0031,0.01
MLDM031,1,MXD-0002,83.29
MLDM031,2,MKE-0001,12.0
MLDM031,3,MSE-0025,2.2
MLDM031,4,MKG-0001,1.0
MLDM031,5,MFS-0099,0.8
MLDM031,6,MPP-0005,0.7
MLDM031,7,MAP-0031,0.01
JOFC001,1,MXD-0002,45.260000000000005
JOFC001,2,MKG-0001,17.0
JOFC001,3,MWM-0006,13.7
JOFC001,4,MWP-0009,8.8
JOFC001,5,MXK-0002,5.0
JOFC001,6,MWL-0003,4.0
JOFC001,7,MLM-0003,2.0
JOFC001,8,MSA-0007,1.8
JOFC001,9,MWW-0001,1.7
JOFC001,10,MFP-0040,0.3
JOFC001,11,MXE-0001,0.1
JOFC001,12,MPD-0003,0.1
JOFC001,13,MAR-0006,0.1
JOFC001,14,MVN-0001,0.06
JOFC001,15,MAA-0001,0.02
JOFC001,16,MOM-0005,0.01
JOFC001,17,MAV-0002,0.01
JOFC001,18,MOR-0001,0.01
