product_code,management_code,korean_name,english_name,appearance,packaging_unit,created_date,author,usage_instructions,allergen_korean,allergen_english,storage_method,shelf_life,label_volume,fill_volume,specific_gravity,ph_standard,viscosity_standard,raw_material_report,standardized_name,responsible_seller,recycling_grade,label_position,functional_claim,semi_product_code,p_product_code,source_file
FJSL002,EVCO-1000,프레쥬 프로 모이스처 크리미 토너,Fraijour Pro Moisture Creamy Toner,유백색 액상,500 mL,2019-10-01,신 혜 정,"아침 저녁 세안 후, 내용묾을 덕당량 덜어 피부 결을 따라 부드럽게 도포 후 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),500ml,505,1.01,5.2 ± 1.0,NONE,0,0,0,어려움,NONE,,BFJSL0020,PFJSL0020,제품표준서_EVCO1000_(FJSL002)-프레쥬 프로 모이스처 크리미 토너.xls
FJCRM03,EVCO-1001,프레쥬 프로 모이스처 인텐시브 크림,Fraijour Pro Moisture Intensive Cream,유백색 크림상,"10 mL, 50 ml",2019-10-01,신 혜 정,적당량을 덜어 피부 결을 따라 부드럽게 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),10ml,10,0.956,4.8 ± 1.0,80 ± 15,,,,,,,BFJCR0030,PFJCRM030,제품표준서_EVCO1001_(FJCR003)-프레쥬 프로 모이스처 인텐시브 크림.xls
FJCR003,EVCO-1001,프레쥬 프로 모이스처 인텐시브 크림,Fraijour Pro Moisture Intensive Cream,유백색 크림상,"10 mL, 50 ml",2019-10-01,신 혜 정,적당량을 덜어 피부 결을 따라 부드럽게 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),50ml,50,0.956,4.8 ± 1.0,80 ± 15,0,0,0,우수,,,BFJCR0030,PFJCR0030,제품표준서_EVCO1001_(FJCR003)-프레쥬 프로 모이스처 인텐시브 크림.xls
FJPK001,EVCO-1002,프레쥬 오리지날 허브 자연약쑥 산소 마스크팩,Fraijour Original Herb Wormwood O₂ Maskpack,유백색 점액상,300 mL,2019-10-10,신 혜 정,얼굴에 물기가 있는 상태에서 적당량을 덜어 눈가를 제외한 피부에 골고루 도포 후 거품이 올라오면 부드럽게 마사지 후 헹구어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),300ml,325,1.038,7.0 ± 1.0,"9,000 ± 3,000",0,0,0,어려움,,,BFJPK0010,PFJPK0010,제품표준서_EVCO1002_(FJPK001)-프레쥬 오리지날 허브 자연약쑥 산소 마스크팩.xls
MLDM029,EVCO-1003,미미로린스 드레스 퍼퓸 모먼트 레스트,Mimi Lauryne's Dress Perfume Moment Rest,무색 투명 액상,500 mL,2019-10-18,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,500ml,492,0.984,,,,0,0,어려움,,,,,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls
MLDM030,EVCO-1003,미미로린스 드레스 퍼퓸 모먼트 레스트,Mimi Lauryne's Dress Perfume Moment Rest,무색 투명 액상,500 mL,2019-10-18,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,500ml,492,0.984,,,,0,0,어려움,,,,,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls
MLDM031,EVCO-1003,미미로린스 드레스 퍼퓸 모먼트 레스트,Mimi Lauryne's Dress Perfume Moment Rest,무색 투명 액상,500 mL,2019-10-18,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,500ml,492,0.984,,,,0,0,어려움,,,,,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls
JOFC001,EVCO-1004,제이온 버드 네스트 클렌징 폼,J:ON Bird's Nest Cleansing Foam,백색의 크림상,100 ml / 30 ml,2019-10-31,신 혜 정,세안시 적당량을 손에 덜어 충분히 거품을 내어 얼굴에 마사지하듯 문지른 후 미온수로 깨끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,100ml,95,0.95,9.3 ± 1.0,35 ± 15,0,0,0,우수,,,BJOFC0010,PJOFC0010,제품표준서_EVCO1004_(JOFC001)-제이온 버드 네스트 클렌징 폼.xls
JOCO001,EVCO-1005,제이온 버드 네스트 클렌징 오일,J:ON Bird's Nest Cleansing Oil,미황색의 오일상,150 ml / 55ml,2019-10-31,신 혜 정,물기 없는 손에 오일을 적당량 덜어 피부를 마사지하듯 부드럽게 롤링합니다. 손에 살짝 물을 묻혀 한번 더 롤링후 오일을 유화시킨 다음 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉후 12개월),150ml,139,0.924,NONE,NONE,0,0,0,어려움,,,BJOCO0010,PJOCO0010,제품표준서_EVCO1005_(JOCO001)-제이온 버드 네스트 클렌징 오일.xls
NPBC005,EVCO-1006,에바스 나뚜리아 크리미 밀크 바디워시 - 밀크 미,EVAS Naturia Creamy Milk Body Wash - Milk me,백색 불투명 점액상,750 mL,2019-11-21,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,750ml,752,1.018,5.0 ± 1.0,"10,000 ± 5,000",0,0,0,어려움,,,BNPBC0050,PNPBC0050,제품표준서_EVCO1006_(NPBC005)-에바스 나뚜리아 크리미 밀크 바디워시 - 밀크 미.xls
NPBC006,EVCO-1007,에바스 나뚜리아 크리미 밀크 바디워시 - 쏘 바닐라,EVAS Naturia Creamy Milk Body Wash - So vanilla,미색 불투명 점액상,750 mL,2019-11-21,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,750ml,752,1.018,5.0 ± 1.0,"10,000 ± 5,000",0,0,0,어려움,,,BNPBC0060,PNPBC0060,제품표준서_EVCO1007_(NPBC006)-에바스 나뚜리아 크리미 밀크 바디워시 - 쏘 바닐라.xls
NPBC007,EVCO-1008,에바스 나뚜리아 크리미 밀크 바디워시 - 초코 라떼,EVAS Naturia Creamy Milk Body Wash - Choco latte,갈색 불투명 점액상,750 mL,2019-11-21,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,750ml,752,1.018,5.0 ± 1.0,"10,000 ± 5,000",0,0,0,어려움,,,BNPBC0070,PNPBC0070,제품표준서_EVCO1008_(NPBC007)-에바스 나뚜리아 크리미 밀크 바디워시 - 초코 라떼.xls
NPBC008,EVCO-1009,에바스 나뚜리아 크리미 밀크 바디워시 - 그린 티,EVAS Naturia Creamy Milk Body Wash - Green tea,녹색 불투명 점액상,750 mL,2019-11-21,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,750ml,752,1.018,5.0 ± 1.0,"10,000 ± 5,000",0,0,0,어려움,,,BNPBC0080,PNPBC0080,제품표준서_EVCO1009_(NPBC008)-에바스 나뚜리아 크리미 밀크 바디워시 - 그린 티.xls
ILWSP02,EVCO-1010,이즈리프 인티메이트 워시 포 맨 프레쉬(파우치),isLeaf Intimate Wash for Man Fresh,미황색의 투명 점액상,5 mL,2019-11-22,신 혜 정,"펌프를 3~4회 눌러 적당량의 거품을 손바닥에 덜어 냅니다. 음경과 음낭, 사타구니, 항문을 따라 부드럽게 마사지하듯이 문지릅니다. 미온수로 잔여물이 남지 않게 헹구어 냅니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,5ml,5,1.024,,,0,0,0,우수,,,BILWSP020,PILWSP020,제품표준서_EVCO1010_(ILWSP02)-이즈리프 인티메이트 워시 포 맨 프레쉬(파우치).xls
FJPW000,EVCO-1011,프레쥬 프로 모이스처 엔자임 파우더 워시,Fraijour Pro Moisture Enzyme Powder Wash,백색의 파우더상,1g,2019-11-25,신 혜 정,물기가 있는 손에 제품 1포를 이용하여 충분히 거품을 내어 깨끗이 세안합니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,1g,1,,7.0 ± 1.0,NONE,0,0,0,,,,BFJPW0000,PFJPW0000,제품표준서_EVCO1011_(FJPW000)-프레쥬 프로 모이스처 엔자임 파우더 워시.xls
NPSS001,EVCO-1012,에바스 나뚜리아 크리미 오일 솔트 스크럽-밀크 미,EVAS Naturia Creamy Oil Salt Scrub-Milk Me,알갱이가 있는 옅은 갈색 페이스트상,250 g,2020-03-02,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,250g,250,1.52,,,,0,0,우수,,,BNPSS0010,PNPSS0010,제품표준서_EVCO1012_(NPSS001)-에바스 나뚜리아 크리미 오일 솔트 스크럽-밀크 미.xls
NPSS002,EVCO-1013,에바스 나뚜리아 크리미 오일 솔트 스크럽-쏘 바닐라,EVAS Naturia Creamy Oil Salt Scrub-So Vanilla,알갱이가 있는 황색 페이스트상,250 g,2020-03-02,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,250g,250,1.52,,,,0,0,우수,,,BNPSS0020,PNPSS0020,제품표준서_EVCO1013_(NPSS002)-에바스 나뚜리아 크리미 오일 솔트 스크럽-쏘 바닐라.xls
NPSS003,EVCO-1014,에바스 나뚜리아 크리미 오일 솔트 스크럽-초코 라떼,EVAS Naturia Creamy Oil Salt Scrub-Choco Latte,알갱이가 있는 갈색 페이스트상,250 g,2020-03-02,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,250g,250,1.52,,,,0,0,우수,,,BNPSS0030,PNPSS0030,제품표준서_EVCO1014_(NPSS003)-에바스 나뚜리아 크리미 오일 솔트 스크럽-초코 라떼.xls
NPSS004,EVCO-1015,에바스 나뚜리아 크리미 오일 솔트 스크럽-그린 티,EVAS Naturia Creamy Oil Salt Scrub-Green Tea,알갱이가 있는 녹색 페이스트상,250 g,2020-03-02,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,250g,250,1.52,,,,0,0,우수,,,BNPSS0040,PNPSS0040,제품표준서_EVCO1015_(NPSS004)-에바스 나뚜리아 크리미 오일 솔트 스크럽-그린 티.xls
JOSC001,EVCO-1016,제이온 젠틀 포어 스크럽,J:ON Baking Soda Gentle Pore Scrub,작은 알갱이가 있는 백색 점액상,"50g, 5g x 20ea",2019-11-26,신 혜 정,물기 있는 얼굴에 눈가 및 입가를 피해 도포한 후 마사지하듯 부드럽게 문지른 후 미온수로 충분히 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,50g,50,1.52,8.2 ± 1.0,"30,000 ± 5,000",0,0,0,우수,,,BJOSC0010,PJOSC0010,제품표준서_EVCO1016_(JOSC001)-제이온 젠틀 포어 스크럽.xls
JOSCP01,EVCO-1016,제이온 젠틀 포어 스크럽,J:ON Baking Soda Gentle Pore Scrub,작은 알갱이가 있는 백색 점액상,"50g, 5g x 20ea",2019-11-26,신 혜 정,물기 있는 얼굴에 눈가 및 입가를 피해 도포한 후 마사지하듯 부드럽게 문지른 후 미온수로 충분히 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,5g*20,5,,8.2 ± 1.0,"30,000 ± 5,000",,,,,,,BJOSC0010,PJOSCP010,제품표준서_EVCO1016_(JOSC001)-제이온 젠틀 포어 스크럽.xls
JOFC002,EVCO-1017,제이온 콜라겐 젠틀 폼 클렌징,J:ON Collagen Gentle Foam Cleansing,백색 크림상,100 mL,2019-11-28,신 혜 정,"적당히 물기 있는 손에 덜어 충분히 거품을 낸 뒤, 얼굴에 마사지하듯 부드럽게 문질러 줍니다. 미온수로 헹궈 마무리합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,100ml,97,0.97,10.0 ± 1.0,30 ± 15,0,0,0,우수,,,BJOFC0020,PJOFC0020,제품표준서_EVCO1017_(JOFC002)-제이온 콜라겐 젠틀 폼 클렌징.xls
JOFC003,EVCO-1018,제이온 스네일 젠틀 폼 클렌징,J:ON Snail Gentle Foam Cleansing,백색 크림상,100 mL,2019-11-28,신 혜 정,"적당히 물기 있는 손에 덜어 충분히 거품을 낸 뒤, 얼굴에 마사지하듯 부드럽게 문질러 줍니다. 미온수로 헹궈 마무리합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,100ml,97,0.97,10.0 ± 1.0,30 ± 15,0,0,0,우수,,,BJOFC0030,PJOFC0030,제품표준서_EVCO1018_(JOFC003)-제이온 스네일 젠틀 폼 클렌징.xls
JOHC002,EVCO-1019,제이온 콜라겐 데일리 핸드크림,J:ON Collagen Daily Hand Cream,백색 크림상,100 mL,2019-11-28,신 혜 정,손을 씻은 후나 건조할 때마다 적당량을 덜어 부드럽게 펴 발라 흡수시켜 주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,100ml,98,0.978,,,0,0,0,우수,,,BJOHC0020,PJOHC0020,제품표준서_EVCO1019_(JOHC002)-제이온 콜라겐 데일리 핸드크림.xls
