제품코드,conflict_type,csv_value,excel_value
MLPF001,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.01 이노센트
MLPF002,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.02 스윗피
MLPF003,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.03 프레쉬코튼
MLPF004,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.04 로즈부쉬
MLPF005,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.05 멜리플루어스
CCSP002,관리번호_불일치,EVCO-1114,EVCO-1113
ADML000,관리번호_불일치,EVCO-1149,EVCO-120
VVCR001,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 크림
빈시뷰 글래머 판타지 프래그런스 크림
빈시뷰 글래머 프레셔스 프래그런스 크림",빈시뷰 글래머 센슈얼리티 프래그런스 크림
VVCR002,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 크림
빈시뷰 글래머 판타지 프래그런스 크림
빈시뷰 글래머 프레셔스 프래그런스 크림",빈시뷰 글래머 판타지 프래그런스 크림
VVCR003,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 크림
빈시뷰 글래머 판타지 프래그런스 크림
빈시뷰 글래머 프레셔스 프래그런스 크림",빈시뷰 글래머 프레셔스 프래그런스 크림
VVHC001,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
빈시뷰 글래머 판타지 프래그런스 핸드크림
빈시뷰 글래머 프레셔스 프래그런스 핸드크림",빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
VVHC002,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
빈시뷰 글래머 판타지 프래그런스 핸드크림
빈시뷰 글래머 프레셔스 프래그런스 핸드크림",빈시뷰 글래머 판타지 프래그런스 핸드크림
VVHC003,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
빈시뷰 글래머 판타지 프래그런스 핸드크림
빈시뷰 글래머 프레셔스 프래그런스 핸드크림",빈시뷰 글래머 프레셔스 프래그런스 핸드크림
HFBC002,제품명_불일치,"하파데이 시카&세라 바디 스크럽 워시 - 로즈티
하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴",하파데이 시카&세라 바디 스크럽 워시 - 로즈티
HFBC003,제품명_불일치,"하파데이 시카&세라 바디 스크럽 워시 - 로즈티
하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴",하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
HFBC004,제품명_불일치,"하파데이 시카&세라 바디 스크럽 워시 - 로즈티
하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴",하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴
MLDF028,제품명_불일치,미미로린스 딥 퍼퓸 디퓨져,미미로린스 딥 퍼퓸 디퓨져 - 피브완로즈
MLDF029,제품명_불일치,미미로린스 딥 퍼퓸 디퓨져,미미로린스 딥 퍼퓸 디퓨져 - 네트와제
MLHC018,제품명_불일치,"미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈",미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
MLHC019,제품명_불일치,"미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈",미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
MLHC020,제품명_불일치,"미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈",미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈
RMSC002,제품명_불일치,"에바스 로즈마인 블랑쉬 샤워코롱
에바스 로즈마인 루지 샤워코롱
에바스 로즈마인 클레어 샤워코롱",에바스 로즈마인 블랑쉬 샤워코롱
RMSC003,제품명_불일치,"에바스 로즈마인 블랑쉬 샤워코롱
에바스 로즈마인 루지 샤워코롱
에바스 로즈마인 클레어 샤워코롱",에바스 로즈마인 루지 샤워코롱
RMSC004,제품명_불일치,"에바스 로즈마인 블랑쉬 샤워코롱
에바스 로즈마인 루지 샤워코롱
에바스 로즈마인 클레어 샤워코롱",에바스 로즈마인 클레어 샤워코롱
BTSS001,제품명_불일치,"바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
바스파 오스트레일리안 솔트 바디 스크럽 - 그린티",바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
BTSS002,제품명_불일치,"바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
바스파 오스트레일리안 솔트 바디 스크럽 - 그린티",바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
BTSS003,제품명_불일치,"바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
바스파 오스트레일리안 솔트 바디 스크럽 - 그린티",바스파 오스트레일리안 솔트 바디 스크럽 - 그린티
