제품코드,순번,원료코드,함량
FJSC002,1.0,MXD-0002,53.849
FJSC002,2.0,MUC-0001,8.0
FJSC002,3.0,MOC-0008,5.0
FJSC002,4.0,MKG-0001,5.0
FJSC002,5.0,MUC-0002,4.8
FJSC002,6.0,MUP-0004,4.7
FJSC002,7.0,MK1-0001,4.0
FJSC002,8.0,MSA-0014,3.0
FJSC002,9.0,MDD-0001,2.5
FJSC002,10.0,MUT-0001,2.0
FJSC002,11.0,MXN-0003,1.5
FJSC002,12.0,MOP-0004,1.4
FJSC002,13.0,MWW-0001,1.3
FJSC002,14.0,MK1-0002,1.2
FJSC002,15.0,MSO-0004,0.5
FJSC002,16.0,MAY-0010,0.5
FJSC002,17.0,MPP-0005,0.3
FJSC002,18.0,MFP-0016,0.18
FJSC002,19.0,MAV-0002,0.05
FJSC002,20.0,MAC-0044,0.05
FJSC002,21.0,MXE-0001,0.05
FJSC002,22.0,MAD-0002,0.03
FJSC002,23.0,MAB-0012,0.01
FJSC002,24.0,MAT-0012,0.01
FJSC002,25.0,MAI-0003,0.01
FJSC002,26.0,MAF-0006,0.01
FJSC002,27.0,MAG-0009,0.01
FJSC002,28.0,MAG-0021,0.01
FJSC002,29.0,MAE-0016,0.01
FJSC002,30.0,MAA-0002,0.01
FJSC002,31.0,MXD-0001,0.01
FJSC002,1.0,MXD-0002,52.949
FJSC002,2.0,MUC-0001,9.0
FJSC002,3.0,MUC-0002,8.0
FJSC002,4.0,MKG-0001,5.0
FJSC002,5.0,MUP-0004,4.9
FJSC002,6.0,MUT-0001,3.0
FJSC002,7.0,MSA-0014,3.0
FJSC002,8.0,MOC-0008,3.0
FJSC002,9.0,MK1-0001,3.0
FJSC002,10.0,MXN-0003,1.5
FJSC002,11.0,MOP-0004,1.4
FJSC002,12.0,MWW-0001,1.3
FJSC002,13.0,MK1-0002,1.2
FJSC002,14.0,MDD-0001,1.0
FJSC002,15.0,MSO-0004,0.5
FJSC002,16.0,MAY-0010,0.5
FJSC002,17.0,MPP-0005,0.3
FJSC002,18.0,MFP-0016,0.18
FJSC002,19.0,MAV-0002,0.05
FJSC002,20.0,MAC-0044,0.05
FJSC002,21.0,MXE-0001,0.05
FJSC002,22.0,MAD-0002,0.03
FJSC002,23.0,MAB-0012,0.01
FJSC002,24.0,MAT-0012,0.01
FJSC002,25.0,MAI-0003,0.01
FJSC002,26.0,MAF-0006,0.01
FJSC002,27.0,MAG-0009,0.01
FJSC002,28.0,MAG-0021,0.01
FJSC002,29.0,MAE-0016,0.01
FJSC002,30.0,MAA-0002,0.01
FJSC002,31.0,MXD-0001,0.01
,1.0,MXD-0002,49.37858000000001
,2.0,MSM-0004,22.0
,3.0,MSM-0003,18.0
,4.0,MSM-0013,5.5
,5.0,MSM-0011,2.4
,6.0,MFG-0006,0.7
,7.0,MAL-0017,0.5
,8.0,MSR-0002,0.5
,9.0,MPS-0003,0.4
,10.0,MXN-0003,0.3
,11.0,MXC-0001,0.1
,12.0,MXE-0001,0.1
,13.0,MPL-0001,0.08
,14.0,MUM-0001,0.02
,15.0,MKP-0001,0.01
,16.0,MAF-0006,0.01
,17.0,MOA-0008,0.001
,18.0,MCF-0005,0.0004
,19.0,MCF-0001,2e-05
,1.0,MXD-0002,76.38869999999999
,2.0,MKG-0001,5.5
,3.0,MOL-0002,5.0
,4.0,MON-0001,2.5
,5.0,MWM-0002,1.5
,6.0,MWE-0001,1.5
,7.0,MK1-0002,1.0
,8.0,MWE-0002,1.0
,9.0,MWE-0004,1.0
,10.0,MSK-0001,0.8
,11.0,MST-0001,0.8
,12.0,MPS-0002,0.6
,13.0,MSA-0007,0.5
,14.0,MOD-0004,0.5
,15.0,MXT-0001,0.3
,16.0,MFB-0042,0.3
,17.0,MWV-0001,0.2
,18.0,MWS-0001,0.1
,19.0,MOA-0008,0.1
,20.0,MVP-0006,0.1
,21.0,MAF-0006,0.1
,22.0,MAL-0017,0.1
,23.0,MPL-0001,0.06
,24.0,MVN-0001,0.03
,25.0,MXE-0001,0.02
,26.0,MAV-0002,0.001
,27.0,MCF-0005,0.0003
TBHM002,1.0,MSC-0006,0.4
TBHM002,2.0,MXM-0001,0.05
TBHM002,3.0,MFS-0049,0.05
TBHM002,4.0,MPS-0002,0.35
TBHM002,5.0,MKE-0001,20.0
TBHM002,6.0,MXD-0002,5.57
TBHM002,7.0,MAV-0007,60.0
TBHM002,8.0,MXC-0001,0.05
TBHM002,9.0,MXS-0008,0.18
TBHM002,10.0,MAN-0001,2.0
TBHM002,11.0,MAA-0021,0.04
TBHM002,12.0,MK1-0001,4.0
TBHM002,13.0,MKU-0002,4.0
TBHM002,14.0,MAA-0002,1.5
TBHM002,15.0,MAH-0001,1.5
TBHM002,16.0,MAP-0031,0.2
TBHM002,17.0,MAR-0006,0.1
TBHM002,18.0,MKC-0003,0.01
TBHM002,1.0,MXD-0002A-1,63.69
TBHM002,2.0,MXE-0001,0.02
TBHM002,3.0,MPD-0003,0.2
TBHM002,4.0,MKG-0001A-3,5.0
TBHM002,5.0,MXT-0001,0.3
TBHM002,6.0,MVN-0001,0.03
TBHM002,7.0,MXD-0002A-4,3.0
TBHM002,8.0,MPD-0004,0.1
TBHM002,9.0,MSA-0007,0.1
TBHM002,10.0,MWS-0001,0.1
TBHM002,11.0,MWM-0005,0.1
TBHM002,12.0,MWM-0002,0.1
TBHM002,13.0,MWE-0002,3.0
TBHM002,14.0,MSK-0001,1.0
TBHM002,15.0,MWP-0009,1.5
TBHM002,16.0,MAV-0002,0.01
TBHM002,17.0,MOD-0004,0.5
TBHM002,18.0,MST-0001,1.5
TBHM002,19.0,MOL-0002,7.2
TBHM002,20.0,MOM-0005,0.1
TBHM002,21.0,MOR-0001,0.01
TBHM002,22.0,MVC-0003,0.12
TBHM002,23.0,MXD-0002B-4,11.88
TBHM002,24.0,MFB-0049,0.1
TBHM002,25.0,MPP-0005,0.3
TBHM002,26.0,MAA-0026,0.01
TBHM002,27.0,MAL-0014,0.01
TBHM002,28.0,MAV-0005,0.01
TBHM002,29.0,MAV-0004,0.01
MLDM006,1.0,MXD-0002,83.0
MLDM006,2.0,MKE-0001,12.0
MLDM006,3.0,MSC-0006,2.5
MLDM006,4.0,MKG-0001,1.0
MLDM006,5.0,MFP-0015,0.8
MLDM006,6.0,MPP-0005,0.7
MLDM006,1.0,MXD-0002,81.65
MLDM006,2.0,MKE-0001,13.0
MLDM006,3.0,MSE-0025,2.6
MLDM006,4.0,MFP-0016,1.0
MLDM006,5.0,MKG-0001,1.0
MLDM006,6.0,MPP-0005,0.7
MLDM006,7.0,MXI-0001,0.05
