관리번호,제품명,품목코드,TEST,SPECIFICATION,RESULT
EVCO-1000,Fraijour Pro Moisture Creamy Toner,FJSL002,Appearance,Milky Liquid,PASSED TO THE TEST
EVCO-1000,Fraijour Pro Moisture Creamy Toner,FJSL002,Color,White,PASSED TO THE TEST
EVCO-1000,Fraijour Pro Moisture Creamy Toner,FJSL002,Odor,Fragrance,PASSED TO THE TEST
EVCO-1000,Fraijour Pro Moisture Creamy Toner,FJSL002,pH ( 25℃ ),5.2 ± 1.0 (25℃),5.44
EVCO-1000,Fraijour Pro Moisture Creamy Toner,FJSL002,Specific Gravity,1.010 ± 0.020,1.011
EVCO-1000,Fraijour Pro Moisture Creamy Toner,FJSL002,Microorganism,MAX. 500 CFU/g,
EVCO-1000,Fraijour Pro Moisture Creamy Toner,FJSL002,"Stability (5,37,45℃,72HR)",STABLE,PASSED TO THE TEST
EVCO-1000,Fraijour Pro Moisture Creamy Toner,FJSL002,Content,500 mL,503.1
EVCO-1001,Fraijour Pro Moisture Intensive Cream,FJCR003,Appearance,Cream,PASSED TO THE TEST
EVCO-1001,Fraijour Pro Moisture Intensive Cream,FJCR003,Color,White,PASSED TO THE TEST
EVCO-1001,Fraijour Pro Moisture Intensive Cream,FJCR003,Odor,Fragrance,PASSED TO THE TEST
EVCO-1001,Fraijour Pro Moisture Intensive Cream,FJCR003,pH ( 25℃ ),4.8 ± 1.0 (25℃),4.65
EVCO-1001,Fraijour Pro Moisture Intensive Cream,FJCR003,Hardness,80 ± 15 dyne/cm2,83.0
EVCO-1001,Fraijour Pro Moisture Intensive Cream,FJCR003,Microorganism,MAX. 500 CFU/g,
EVCO-1001,Fraijour Pro Moisture Intensive Cream,FJCR003,"Stability (5,37,45℃,72HR)",STABLE,PASSED TO THE TEST
EVCO-1001,Fraijour Pro Moisture Intensive Cream,FJCR003,Content,50ml,50.6
EVCO-1002,Fraijour Original Herb Wormwood O₂ Maskpack,FJPK001,Appearance,Viscous Liquid,PASSED TO THE TEST
EVCO-1002,Fraijour Original Herb Wormwood O₂ Maskpack,FJPK001,Color,White,PASSED TO THE TEST
EVCO-1002,Fraijour Original Herb Wormwood O₂ Maskpack,FJPK001,Odor,Fragrance,PASSED TO THE TEST
EVCO-1002,Fraijour Original Herb Wormwood O₂ Maskpack,FJPK001,pH ( 25℃ ),7.0 ± 1.0 (25℃),6.88
EVCO-1002,Fraijour Original Herb Wormwood O₂ Maskpack,FJPK001,Viscosity,"9,000 ± 3,000 Cps",9500.0
EVCO-1002,Fraijour Original Herb Wormwood O₂ Maskpack,FJPK001,Microorganism,MAX. 500 CFU/g,
EVCO-1002,Fraijour Original Herb Wormwood O₂ Maskpack,FJPK001,"Stability (5,37,45℃,72HR)",STABLE,PASSED TO THE TEST
EVCO-1002,Fraijour Original Herb Wormwood O₂ Maskpack,FJPK001,Content,300 mL,302.4
EVCO-1003,Mimi Lauryne's Dress Perfume Moment Rest,MLDM029,Appearance,Aerosols filled liquid,PASSED TO THE TEST
EVCO-1003,Mimi Lauryne's Dress Perfume Moment Rest,MLDM029,Color,White,PASSED TO THE TEST
EVCO-1003,Mimi Lauryne's Dress Perfume Moment Rest,MLDM029,Odor,Fragrance,PASSED TO THE TEST
EVCO-1003,Mimi Lauryne's Dress Perfume Moment Rest,MLDM029,pH ( 25℃ ),6.5 ± 1.0,6.4
EVCO-1003,Mimi Lauryne's Dress Perfume Moment Rest,MLDM029,Mercury,≤1 ppm,PASSED TO THE TEST
EVCO-1003,Mimi Lauryne's Dress Perfume Moment Rest,MLDM029,Hardness,1.07 ± 0.1,1.06
EVCO-1003,Mimi Lauryne's Dress Perfume Moment Rest,MLDM029,Microorganism,MAX. 100 CFU/g,MAX. 10 CFU/g
EVCO-1003,Mimi Lauryne's Dress Perfume Moment Rest,MLDM029,"Stability (5,37,45℃,72HR)",STABLE,PASSED TO THE TEST
EVCO-1003,Mimi Lauryne's Dress Perfume Moment Rest,MLDM029,Content,102.5ml,PASSED TO THE TEST
EVCO-1004,J:ON  Bird's Nest Cleansing Foam,JOFC001,Appearance,Cream,PASSED TO THE TEST
EVCO-1004,J:ON  Bird's Nest Cleansing Foam,JOFC001,Color,White,PASSED TO THE TEST
EVCO-1004,J:ON  Bird's Nest Cleansing Foam,JOFC001,Odor,Fragrance,PASSED TO THE TEST
EVCO-1004,J:ON  Bird's Nest Cleansing Foam,JOFC001,pH ( 25℃ ),9.3 ± 1.0 (25℃),9.45
EVCO-1004,J:ON  Bird's Nest Cleansing Foam,JOFC001,Hardness,35 ± 15 dyne/cm2,33.0
EVCO-1004,J:ON  Bird's Nest Cleansing Foam,JOFC001,Microorganism,Max. 500 cfu/g,
EVCO-1004,J:ON  Bird's Nest Cleansing Foam,JOFC001,"Stability (5,37,45℃,72hr)",STABLE,PASSED TO THE TEST
EVCO-1004,J:ON  Bird's Nest Cleansing Foam,JOFC001,Content,100 mL (Min. 97 mL),101.2
EVCO-1005,J:ON Bird's Nest Cleansing Oil,JOCO001,Appearance,Liquid,PASSED TO THE TEST
EVCO-1005,J:ON Bird's Nest Cleansing Oil,JOCO001,Color,Pale Yellow,PASSED TO THE TEST
EVCO-1005,J:ON Bird's Nest Cleansing Oil,JOCO001,Odor,Fragrance,PASSED TO THE TEST
EVCO-1005,J:ON Bird's Nest Cleansing Oil,JOCO001,Specific Gravity,0.924 ± 0.02,0.925
EVCO-1005,J:ON Bird's Nest Cleansing Oil,JOCO001,Microorganism,MAX. 500 cfu/g,
EVCO-1005,J:ON Bird's Nest Cleansing Oil,JOCO001,"Stability (5,37,45℃,72hr)",STABLE,PASSED TO THE TEST
EVCO-1005,J:ON Bird's Nest Cleansing Oil,JOCO001,Content,150 mL (Min. 145.5 mL),150.3
EVCO-1006,EVAS Naturia Creamy Milk Body Wash - Milk me,NPBC005,Appearance,0.0,PASSED TO THE TEST
EVCO-1006,EVAS Naturia Creamy Milk Body Wash - Milk me,NPBC005,Color,0.0,PASSED TO THE TEST
EVCO-1006,EVAS Naturia Creamy Milk Body Wash - Milk me,NPBC005,Odor,Fragrance,PASSED TO THE TEST
EVCO-1006,EVAS Naturia Creamy Milk Body Wash - Milk me,NPBC005,pH ( 25℃ ),5.0 ± 1.0 (25℃),0.0
EVCO-1006,EVAS Naturia Creamy Milk Body Wash - Milk me,NPBC005,Viscosity,"10,000 ± 5,000 Cps",0.0
EVCO-1006,EVAS Naturia Creamy Milk Body Wash - Milk me,NPBC005,Microorganism,MAX. 500 CFU/g,
EVCO-1006,EVAS Naturia Creamy Milk Body Wash - Milk me,NPBC005,"Stability (5,37,45℃,72HR)",STABLE,PASSED TO THE TEST
EVCO-1006,EVAS Naturia Creamy Milk Body Wash - Milk me,NPBC005,Content,750 mL,0.0
EVCO-1006,EVAS Naturia Creamy Milk Body Wash - Milk me,NPBC005,0.0,0.0,0.0
EVCO-1007,EVAS Naturia Creamy Milk Body Wash - So vanilla,NPBC006,Appearance,0.0,PASSED TO THE TEST
EVCO-1007,EVAS Naturia Creamy Milk Body Wash - So vanilla,NPBC006,Color,0.0,PASSED TO THE TEST
EVCO-1007,EVAS Naturia Creamy Milk Body Wash - So vanilla,NPBC006,Odor,Fragrance,PASSED TO THE TEST
EVCO-1007,EVAS Naturia Creamy Milk Body Wash - So vanilla,NPBC006,pH ( 25℃ ),5.0 ± 1.0 (25℃),0.0
EVCO-1007,EVAS Naturia Creamy Milk Body Wash - So vanilla,NPBC006,Viscosity,"10,000 ± 5,000 Cps",0.0
EVCO-1007,EVAS Naturia Creamy Milk Body Wash - So vanilla,NPBC006,Microorganism,MAX. 500 CFU/g,
EVCO-1007,EVAS Naturia Creamy Milk Body Wash - So vanilla,NPBC006,"Stability (5,37,45℃,72HR)",STABLE,PASSED TO THE TEST
