순번,등록일,제품코드,excel_관리번호,excel_제품명국문,excel_제품명영문,"표시
용량","충진
용량
()",비중,pH기준,"점,경도기준","권장사용
나이",원료목록보고,"표준화
명칭적용",책임판매업적용,알러지물질표기,사용기한,재활용등급표시,문안표기대상부자재,기능성,라벨부착위치,버진라벨,대박스,입수량,비고
31,,SBMPNN7,EVCO-031,밀크샴바드 프리미엄 바디클렌저#7(그린애플부케향),,910ml,920,1.014,,,,,,,,,,,,,,,,
33,,SBMPNN5,EVCO-033,밀크샴바드 프리미엄 바디클렌저#5 ,,910ml,920,1.014,,,,,,,,,,,,,,,,
34,,SBMPNN3,EVCO-034,밀크샴바드 프리미엄 바디클렌저#3 ,,910ml,920,1.014,,,,,,,,,,,,,,,,
35,2010-06-22 00:00:00,ETIRN010,EVCO-035,에바스 이너린스(여성청결제),,,,,,,,,,,,,,,,,,,,
36,,LBBS001,EVCO-036,르보에 쥬이시 솔트 바디스크럽(자몽),,,,,,,,,,,,,,,,,,,,
37,,LBBS002,EVCO-037,르보에 쥬이시 솔트 바디스크럽(모링가),,,,,,,,,,,,,,,,,,,,
38,,LBBS003,EVCO-038,르보에 쥬이시 솔트 바디스크럽(밀크),,,,,,,,,,,,,,,,,,,,
39,,ETFC001,EVCO-039,에스떼 딥클렌징 폼(올리브),,,,,,,,,,,,,,,,,,,,
40,,ETFC002,EVCO-040,에스떼 딥클렌징 폼(레몬),,,,,,,,,,,,,,,,,,,,
41,,ETFC003,EVCO-041,에스떼 딥클렌징 폼(라벤더),,,,,,,,,,,,,,,,,,,,
42,,ETFC004,EVCO-042,에스떼 딥클렌징 폼(로즈),,,,,,,,,,,,,,,,,,,,
43,2010-07-30 00:00:00,ETBCNN10,EVCO-043,에스떼 퓨어 에센셜 워시(올리브),,,,,,,,,,,,,,,,,,,,
44,,ETBCNN20,EVCO-044,에스떼 퓨어 에센셜 워시(레몬),,,,,,,,,,,,,,,,,,,,
45,,ETBCNN30,EVCO-045,에스떼 퓨어 에센셜 워시(라벤더),,,,,,,,,,,,,,,,,,,,
46,,ETBCNN40,EVCO-046,에스떼 퓨어 에센셜 워시(로즈),,,,,,,,,,,,,,,,,,,,
47,,LTSLN000,EVCO-047,토르소 옴므 클라리티 모이스처 로션,,,,,,,,,,,,,,,,,,,,
48,,LTMLN000,EVCO-048,토르소 옴므 클라리티 피팅 스킨,,,,,,,,,,,,,,,,,,,,
49,,FEFC0010,EVCO-049,페미에르 소프트 필링 워시,,,,,,,,,,,,,,,,,,,,
50,,LPCB0010,EVCO-050,르보에 퍼펙트 풀-커버 비비,,,,,,,,,,,,,,,,,,,,
51,,DASP0010,EVCO-051,알로에 케어 샴푸 앤 린스,,,,,,,,,,,,,,,,,,,,
52,,PEEX0010,EVCO-052,필라뜨 모이스춰라이징 핸드크림(로즈향),,,,,,,,,,,,,,,,,,,,
53,2010-09-20 00:00:00,HDEX0000,EVCO-053,해담은 에센스,,,,,,,,,,,,,,,,,,,,
54,2010-09-20 00:00:00,HDRC0000,EVCO-054,해담은 리뉴트리브크림,,,,,,,,,,,,,,,,,,,,
55,2010-09-20 00:00:00,HDBB0000,EVCO-055,해담은 비비크림,,,,,,,,,,,,,,,,,,,,
56,2010-09-20 00:00:00,XFMG001,EVCO-056,휘욜라 클렌징 마사지 업젤,,,,0.993,,,,,,,,,,,,,,,,
57,2010-10-11 00:00:00,MSBL001,EVCO-057,밀크 샴바드 패밀리 바디로션(쟈스민),,,,,,,,,,,,,,,,,,,,
