국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한_x,원본파일,순번,등록일,excel_관리번호,excel_제품명국문,excel_제품명영문,"표시
용량","충진
용량
()",비중,pH기준,"점,경도기준","권장사용
나이",원료목록보고,"표준화
명칭적용",책임판매업적용,알러지물질표기,사용기한_y,재활용등급표시,문안표기대상부자재,기능성,라벨부착위치,버진라벨,대박스,입수량,비고,data_source,관리번호_일치,제품명_일치
프레쥬 프로 모이스처 크리미 토너,Fraijour Pro Moisture Creamy Toner,EVCO-1000,2019.10.01,FJSL002,유백색 액상,500 mL,신 혜 정,"아침 저녁 세안 후, 내용묾을 덕당량 덜어 피부 결을 따라 부드럽게 도포 후 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1000_(FJSL002)-프레쥬 프로 모이스처 크리미 토너.xls,900,19.10.01,EVCO-1000,프레쥬 프로 모이스처 크리미 토너,Fraijour Pro Moisture Creamy Toner,500ml,505,1.01,5.2 ± 1.0,NONE,,0,0,0,,3년,어려움,용기/단상자,,NONE,O,,,,both,True,True
프레쥬 프로 모이스처 인텐시브 크림,Fraijour Pro Moisture Intensive Cream,EVCO-1001,2019.10.01,FJCRM03,유백색 크림상,"10 mL, 50 ml",신 혜 정,적당량을 덜어 피부 결을 따라 부드럽게 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1001_(FJCR003)-프레쥬 프로 모이스처 인텐시브 크림.xls,,,EVCO-1001,프레쥬 프로 모이스처 인텐시브 크림,Fraijour Pro Moisture Intensive Cream,10ml,10,0.956,4.8 ± 1.0,80 ± 15,,,,,,,,튜브,,,,,,,both,True,True
프레쥬 프로 모이스처 인텐시브 크림,Fraijour Pro Moisture Intensive Cream,EVCO-1001,2019.10.01,FJCR003,유백색 크림상,"10 mL, 50 ml",신 혜 정,적당량을 덜어 피부 결을 따라 부드럽게 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1001_(FJCR003)-프레쥬 프로 모이스처 인텐시브 크림.xls,901,19.10.01,EVCO-1001,프레쥬 프로 모이스처 인텐시브 크림,Fraijour Pro Moisture Intensive Cream,50ml,50,0.956,4.8 ± 1.0,80 ± 15,,0,0,0,,,우수,용기/단상자,,,O,,,,both,True,True
프레쥬 오리지날 허브 자연약쑥 산소 마스크팩,Fraijour Original Herb Wormwood O₂ Maskpack,EVCO-1002,2019.10.10,FJPK001,유백색 점액상,300 mL,신 혜 정,얼굴에 물기가 있는 상태에서 적당량을 덜어 눈가를 제외한 피부에 골고루 도포 후 거품이 올라오면 부드럽게 마사지 후 헹구어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1002_(FJPK001)-프레쥬 오리지날 허브 자연약쑥 산소 마스크팩.xls,902,19.10.11,EVCO-1002,프레쥬 오리지날 허브 자연약쑥 산소 마스크팩,Fraijour Original Herb Wormwood O₂Maskpack,300ml,325,1.038,7.0 ± 1.0,"9,000 ± 3,000",,0,0,0,,,어려움,용기인쇄/단상자,,,,,,,both,True,True
미미로린스 드레스 퍼퓸 모먼트 레스트,Mimi Lauryne's Dress Perfume Moment Rest,EVCO-1003,2019.10.18,MLDM029,무색 투명 액상,500 mL,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls,903,19.10.18,EVCO-1003,미미로린스 드레스 퍼퓸 모먼트 레스트-로즈부쉬,,500ml,492,0.984,,,,,0,0,,,어려움,라벨,,,,,,,both,True,True
미미로린스 드레스 퍼퓸 모먼트 레스트,Mimi Lauryne's Dress Perfume Moment Rest,EVCO-1003,2019.10.18,MLDM030,무색 투명 액상,500 mL,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls,,,EVCO-1003,미미로린스 드레스 퍼퓸 모먼트 레스트-가든파티,,500ml,492,0.984,,,,,0,0,,,어려움,라벨,,,,,,,both,True,True
미미로린스 드레스 퍼퓸 모먼트 레스트,Mimi Lauryne's Dress Perfume Moment Rest,EVCO-1003,2019.10.18,MLDM031,무색 투명 액상,500 mL,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls,,,EVCO-1003,미미로린스 드레스 퍼퓸 모먼트 레스트-레몬트리,,500ml,492,0.984,,,,,0,0,,,어려움,라벨,,,,,,,both,True,True
제이온 버드 네스트 클렌징 폼,J:ON  Bird's Nest Cleansing Foam,EVCO-1004,2019.10.31,JOFC001,백색의 크림상,100 ml / 30 ml,신 혜 정,세안시 적당량을 손에 덜어 충분히 거품을 내어 얼굴에 마사지하듯 문지른 후 미온수로 깨끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1004_(JOFC001)-제이온 버드 네스트 클렌징 폼.xls,904,19.10.31,EVCO-1004,제이온 버드 네스트 클렌징 폼,J:ON  Bird's Nest Cleansing Foam,100ml,95,0.950,9.3 ± 1.0,35 ± 15,,0,0,0,,3년,우수,"튜브, 단상자",,,,,,러시아수출,both,True,True
제이온 버드 네스트 클렌징 오일,J:ON Bird's Nest Cleansing Oil,EVCO-1005,2019.10.31,JOCO001,미황색의 오일상,150 ml / 55ml,신 혜 정,물기 없는 손에 오일을 적당량 덜어 피부를 마사지하듯 부드럽게 롤링합니다. 손에 살짝 물을 묻혀 한번 더 롤링후 오일을 유화시킨 다음 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉후 12개월),제품표준서_EVCO1005_(JOCO001)-제이온 버드 네스트 클렌징 오일.xls,905,19.10.31,EVCO-1005,제이온 버드 네스트 클렌징 오일,J:ON Bird's Nest Cleansing Oil,150ml,139,0.924,NONE,NONE,,0,0,0,,2년,어려움,"용기, 단상자",,,,,,러시아수출,both,True,True
에바스 나뚜리아 크리미 밀크 바디워시 - 밀크 미,EVAS Naturia Creamy Milk Body Wash - Milk me,EVCO-1006,2019.11.21,NPBC005,백색 불투명 점액상,750 mL,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1006_(NPBC005)-에바스 나뚜리아 크리미 밀크 바디워시 - 밀크 미.xls,906,19.11.21,EVCO-1006,에바스 나뚜리아 크리미 밀크 바디워시 - 밀크 미,EVAS Naturia Creamy Milk Body Wash - Milk me,750ml,752,1.018,5.0 ± 1.0,"10,000 ± 5,000",,0,0,0,,,어려움,라벨,,,,,,,both,True,True
