관리번호,순서,공정명,QC체크,행,열
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,1,제조 공정도,NO,1,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,2,별첨. 2,NO,3,1
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,3,생산계획,NO,3,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,4,제조지시,NO,5,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,5,제조지시 및 기록서,NO,7,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,6,원료 출고,NO,8,3
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,7,원료 칭량,NO,9,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,8,Q.C,YES,10,8
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,9,혼합 용해,NO,11,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,10,냉각․탈포,NO,13,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,11,여과,NO,15,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,12,Q.C,YES,16,8
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,13,숙성보관,NO,17,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,14,반제품 인수,NO,19,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,15,자재출고,NO,20,3
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,16,충전,NO,21,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,17,Q.C,YES,22,8
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,18,공정검사,NO,23,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,19,포장,NO,25,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,20,Q.C,YES,26,8
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,21,공정검사,NO,27,5
제품표준서(CMFS000)-청정미인 데오라이징 쿨링 풋 샴푸,22,㈜ 에바스코스메틱                     A4(210mm*297mm),NO,31,1
EVCO-1000,1,제조 공정도,NO,1,5
EVCO-1000,2,별첨. 2,NO,3,1
EVCO-1000,3,생산계획,NO,3,5
EVCO-1000,4,제조지시,NO,5,5
EVCO-1000,5,제조지시 및 기록서,NO,7,5
EVCO-1000,6,원료 출고,NO,8,3
EVCO-1000,7,원료 칭량,NO,9,5
EVCO-1000,8,Q.C,YES,10,8
EVCO-1000,9,혼합 용해,NO,11,5
EVCO-1000,10,냉각․탈포,NO,13,5
EVCO-1000,11,여과,NO,15,5
EVCO-1000,12,Q.C,YES,16,8
EVCO-1000,13,숙성보관,NO,17,5
EVCO-1000,14,반제품 인수,NO,19,5
EVCO-1000,15,자재출고,NO,20,3
EVCO-1000,16,충전,NO,21,5
EVCO-1000,17,Q.C,YES,22,8
EVCO-1000,18,공정검사,NO,23,5
EVCO-1000,19,포장,NO,25,5
EVCO-1000,20,Q.C,YES,26,8
EVCO-1000,21,공정검사,NO,27,5
EVCO-1000,22,㈜ 에바스코스메틱                     A4(210mm*297mm),NO,35,1
EVCO-1001,1,제조 공정도,NO,1,5
EVCO-1001,2,별첨. 2,NO,3,1
EVCO-1001,3,생산계획,NO,3,5
EVCO-1001,4,제조지시,NO,5,5
EVCO-1001,5,제조지시 및 기록서,NO,7,5
EVCO-1001,6,원료 출고,NO,8,3
EVCO-1001,7,원료 칭량,NO,9,5
EVCO-1001,8,Q.C,YES,10,8
EVCO-1001,9,혼합 용해,NO,11,5
EVCO-1001,10,냉각․탈포,NO,13,5
EVCO-1001,11,여과,NO,15,5
EVCO-1001,12,Q.C,YES,16,8
EVCO-1001,13,숙성보관,NO,17,5
EVCO-1001,14,반제품 인수,NO,19,5
EVCO-1001,15,자재출고,NO,20,3
EVCO-1001,16,충전,NO,21,5
EVCO-1001,17,Q.C,YES,22,8
EVCO-1001,18,공정검사,NO,23,5
EVCO-1001,19,포장,NO,25,5
EVCO-1001,20,Q.C,YES,26,8
EVCO-1001,21,공정검사,NO,27,5
EVCO-1001,22,㈜ 에바스코스메틱                     A4(210mm*297mm),NO,35,1
EVCO-1002,1,제조 공정도,NO,1,5
EVCO-1002,2,별첨. 2,NO,3,1
EVCO-1002,3,생산계획,NO,3,5
EVCO-1002,4,제조지시,NO,5,5
EVCO-1002,5,제조지시 및 기록서,NO,7,5
EVCO-1002,6,원료 출고,NO,8,3
EVCO-1002,7,원료 칭량,NO,9,5
EVCO-1002,8,Q.C,YES,10,8
EVCO-1002,9,혼합 용해,NO,11,5
EVCO-1002,10,냉각․탈포,NO,13,5
EVCO-1002,11,여과,NO,15,5
EVCO-1002,12,Q.C,YES,16,8
EVCO-1002,13,숙성보관,NO,17,5
EVCO-1002,14,반제품 인수,NO,19,5
EVCO-1002,15,자재출고,NO,20,3
EVCO-1002,16,충전,NO,21,5
EVCO-1002,17,Q.C,YES,22,8
EVCO-1002,18,공정검사,NO,23,5
EVCO-1002,19,포장,NO,25,5
EVCO-1002,20,Q.C,YES,26,8
EVCO-1002,21,공정검사,NO,27,5
EVCO-1002,22,㈜ 에바스코스메틱                     A4(210mm*297mm),NO,35,1
EVCO-1003,1,제조 공정도,NO,1,5
EVCO-1003,2,별첨. 2,NO,3,1
EVCO-1003,3,생산계획,NO,3,5
EVCO-1003,4,제조지시,NO,5,5
EVCO-1003,5,제조지시 및 기록서,NO,7,5
EVCO-1003,6,원료 출고,NO,8,3
EVCO-1003,7,원료 칭량,NO,9,5
EVCO-1003,8,Q.C,YES,10,8
EVCO-1003,9,혼합 용해,NO,11,5
EVCO-1003,10,냉각․탈포,NO,13,5
EVCO-1003,11,여과,NO,15,5
EVCO-1003,12,Q.C,YES,16,8
EVCO-1003,13,숙성보관,NO,17,5
EVCO-1003,14,반제품 인수,NO,19,5
EVCO-1003,15,자재출고,NO,20,3
EVCO-1003,16,충전,NO,21,5
EVCO-1003,17,Q.C,YES,22,8
EVCO-1003,18,공정검사,NO,23,5
EVCO-1003,19,포장,NO,25,5
EVCO-1003,20,Q.C,YES,26,8
EVCO-1003,21,공정검사,NO,27,5
EVCO-1003,22,㈜ 에바스코스메틱                     A4(210mm*297mm),NO,35,1
EVCO-1004,1,제조 공정도,NO,1,5
EVCO-1004,2,별첨. 2,NO,3,1
EVCO-1004,3,생산계획,NO,3,5
EVCO-1004,4,제조지시,NO,5,5
EVCO-1004,5,제조지시 및 기록서,NO,7,5
EVCO-1004,6,원료 출고,NO,8,3
EVCO-1004,7,원료 칭량,NO,9,5
EVCO-1004,8,Q.C,YES,10,8
EVCO-1004,9,혼합 용해,NO,11,5
EVCO-1004,10,냉각․탈포,NO,13,5
EVCO-1004,11,여과,NO,15,5
EVCO-1004,12,Q.C,YES,16,8
EVCO-1004,13,숙성보관,NO,17,5
EVCO-1004,14,반제품 인수,NO,19,5
EVCO-1004,15,자재출고,NO,20,3
EVCO-1004,16,충전,NO,21,5
EVCO-1004,17,Q.C,YES,22,8
EVCO-1004,18,공정검사,NO,23,5
EVCO-1004,19,포장,NO,25,5
EVCO-1004,20,Q.C,YES,26,8
EVCO-1004,21,공정검사,NO,27,5
EVCO-1004,22,㈜ 에바스코스메틱                     A4(210mm*297mm),NO,35,1
EVCO-1005,1,제조 공정도,NO,1,5
EVCO-1005,2,별첨. 2,NO,3,1
EVCO-1005,3,생산계획,NO,3,5
EVCO-1005,4,제조지시,NO,5,5
