국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한,원본파일
프레쥬 프로 모이스처 크리미 토너,Fraijour Pro Moisture Creamy Toner,EVCO-1000,2019.10.01,FJSL002,유백색 액상,500 mL,신 혜 정,"아침 저녁 세안 후, 내용묾을 덕당량 덜어 피부 결을 따라 부드럽게 도포 후 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1000_(FJSL002)-프레쥬 프로 모이스처 크리미 토너.xls
프레쥬 프로 모이스처 인텐시브 크림,Fraijour Pro Moisture Intensive Cream,EVCO-1001,2019.10.01,FJCRM03,유백색 크림상,"10 mL, 50 ml",신 혜 정,적당량을 덜어 피부 결을 따라 부드럽게 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1001_(FJCR003)-프레쥬 프로 모이스처 인텐시브 크림.xls
프레쥬 프로 모이스처 인텐시브 크림,Fraijour Pro Moisture Intensive Cream,EVCO-1001,2019.10.01,FJCR003,유백색 크림상,"10 mL, 50 ml",신 혜 정,적당량을 덜어 피부 결을 따라 부드럽게 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1001_(FJCR003)-프레쥬 프로 모이스처 인텐시브 크림.xls
프레쥬 오리지날 허브 자연약쑥 산소 마스크팩,Fraijour Original Herb Wormwood O₂ Maskpack,EVCO-1002,2019.10.10,FJPK001,유백색 점액상,300 mL,신 혜 정,얼굴에 물기가 있는 상태에서 적당량을 덜어 눈가를 제외한 피부에 골고루 도포 후 거품이 올라오면 부드럽게 마사지 후 헹구어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1002_(FJPK001)-프레쥬 오리지날 허브 자연약쑥 산소 마스크팩.xls
미미로린스 드레스 퍼퓸 모먼트 레스트,Mimi Lauryne's Dress Perfume Moment Rest,EVCO-1003,2019.10.18,MLDM029,무색 투명 액상,500 mL,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls
미미로린스 드레스 퍼퓸 모먼트 레스트,Mimi Lauryne's Dress Perfume Moment Rest,EVCO-1003,2019.10.18,MLDM030,무색 투명 액상,500 mL,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls
미미로린스 드레스 퍼퓸 모먼트 레스트,Mimi Lauryne's Dress Perfume Moment Rest,EVCO-1003,2019.10.18,MLDM031,무색 투명 액상,500 mL,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,제품표준서_EVCO1003_(MLDM029~031)-미미로린스 드레스 퍼퓸 모먼트 레스트.xls
제이온 버드 네스트 클렌징 폼,J:ON  Bird's Nest Cleansing Foam,EVCO-1004,2019.10.31,JOFC001,백색의 크림상,100 ml / 30 ml,신 혜 정,세안시 적당량을 손에 덜어 충분히 거품을 내어 얼굴에 마사지하듯 문지른 후 미온수로 깨끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1004_(JOFC001)-제이온 버드 네스트 클렌징 폼.xls
제이온 버드 네스트 클렌징 오일,J:ON Bird's Nest Cleansing Oil,EVCO-1005,2019.10.31,JOCO001,미황색의 오일상,150 ml / 55ml,신 혜 정,물기 없는 손에 오일을 적당량 덜어 피부를 마사지하듯 부드럽게 롤링합니다. 손에 살짝 물을 묻혀 한번 더 롤링후 오일을 유화시킨 다음 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉후 12개월),제품표준서_EVCO1005_(JOCO001)-제이온 버드 네스트 클렌징 오일.xls
에바스 나뚜리아 크리미 밀크 바디워시 - 밀크 미,EVAS Naturia Creamy Milk Body Wash - Milk me,EVCO-1006,2019.11.21,NPBC005,백색 불투명 점액상,750 mL,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1006_(NPBC005)-에바스 나뚜리아 크리미 밀크 바디워시 - 밀크 미.xls
에바스 나뚜리아 크리미 밀크 바디워시 - 쏘 바닐라,EVAS Naturia Creamy Milk Body Wash - So vanilla,EVCO-1007,2019.11.21,NPBC006,미색 불투명 점액상,750 mL,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1007_(NPBC006)-에바스 나뚜리아 크리미 밀크 바디워시 - 쏘 바닐라.xls
에바스 나뚜리아 크리미 밀크 바디워시 - 초코 라떼,EVAS Naturia Creamy Milk Body Wash - Choco latte,EVCO-1008,2019.11.21,NPBC007,갈색 불투명 점액상,750 mL,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1008_(NPBC007)-에바스 나뚜리아 크리미 밀크 바디워시 - 초코 라떼.xls
에바스 나뚜리아 크리미 밀크 바디워시 - 그린 티,EVAS Naturia Creamy Milk Body Wash - Green tea,EVCO-1009,2019.11.21,NPBC008,녹색 불투명 점액상,750 mL,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1009_(NPBC008)-에바스 나뚜리아 크리미 밀크 바디워시 - 그린 티.xls
이즈리프 인티메이트 워시 포 맨 프레쉬(파우치),isLeaf Intimate Wash for Man Fresh,EVCO-1010,2019.11.22,ILWSP02,미황색의 투명 점액상,5 mL,신 혜 정,"펌프를 3~4회 눌러 적당량의 거품을 손바닥에 덜어 냅니다. 음경과 음낭, 사타구니, 항문을 따라 부드럽게 마사지하듯이 문지릅니다. 미온수로 잔여물이 남지 않게 헹구어 냅니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1010_(ILWSP02)-이즈리프 인티메이트 워시 포 맨 프레쉬(파우치).xls
프레쥬 프로 모이스처 엔자임 파우더 워시,Fraijour Pro Moisture Enzyme Powder Wash,EVCO-1011,2019.11.25,FJPW000,백색의 파우더상,1g,신 혜 정,물기가 있는 손에 제품 1포를 이용하여 충분히 거품을 내어 깨끗이 세안합니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1011_(FJPW000)-프레쥬 프로 모이스처 엔자임 파우더 워시.xls
