ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin
MAA-0001,1,Allantoin,알란토인,97-59-6,100,Skin Protectant,영국
MAA-0002,1,Water,정제수,7732-18-5,59,Skin Conditioning Agent,
MAA-0002,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,
MAA-0002,3,Aloe Barbadensis Extract,알로에베라추출물,85507-69-3,1,Skin Conditioning Agent,
MAA-0016,1,Chlorella Vulgaris Extract,클로렐라 불가리스추출물,-,0,Skin Conditioning Agent,일본
MAA-0016,2,Paeonia Suffruticosa Root Extract,모란뿌리추출물,-,0,Skin Conditioning Agent,일본
MAA-0016,3,Allium Sativum (Garlic) Bulb Extract,마늘추출물,8008-99-9,0,Skin Conditioning Agent,일본
MAA-0016,4,Disodium Adenosine Triphosphate,다이소듐아데노신트라이포스페이트,987-65-5,0,Skin Conditioning Agent,일본
MAA-0017,1,Arbutin,알부틴,497-76-7,100,Skin Conditioning Agent,대한민국
MAA-0018,1,Angelica Keiskei Leaf/Stem Extract,신선초잎/줄기추출물,-,100,Skin Conditioning Agent,대한민국
MAA-0020,1,Alpinia Katsumadae Fruit Extract,초두구열매추출물,-,100,Skin Conditioning Agent,대한민국
MAA-0021,1,Adenosine,아데노신,58-61-7,100,Skin Conditioning Agent,중국
MAA-0022,1,Hydrogenated Lecithin,하이드로제네이티드레시틴,92128-87-5,0,Skin Conditioning Agent,대한민국
MAA-0022,2,Water,정제수,7732-18-5,0,Skin Conditioning Agent,대한민국
MAA-0022,3,Glycerin,글리세린,56-81-5,0,Skin Conditioning Agent,대한민국
MAA-0022,4,Dimethicone,다이메티콘,9006-65-9,0,Skin Conditioning Agent,대한민국
MAA-0022,5,Sucrose Distearate,수크로오스다이스테아레이트,27195-16-0,0,Skin Conditioning Agent,대한민국
MAA-0022,6,PEG-2M,피이지-2M,25322-68-3,0,Skin Conditioning Agent,대한민국
MAA-0024,1,Water,정제수,7732-18-5,59.5,Skin Conditioning Agent,대한민국
MAA-0024,2,Butylene Glycol,부틸렌글라이콜,107-88-0,30,Skin Conditioning Agent,대한민국
MAA-0024,3,Glycerin,글리세린,56-81-5,5,Skin Conditioning Agent,대한민국
MAA-0024,4,Robinia Pseudoacacia Flower Extract,아까시나무꽃추출물,-,5.5,Skin Conditioning Agent,대한민국
MAA-0025,1,Water,,7732-18-5,55,Skin Conditioning Agent,대한민국
MAA-0025,2,Butylene Glycol,,107-88-0,40,Skin Conditioning Agent,대한민국
MAA-0025,3,Ginkgo Biloba Leaf Extract,은행나무잎추출물,90045-36-6,5,Skin Conditioning Agent,대한민국
MAA-0026,1,Melissa Officinalis Leaf Extract,레몬밤잎추출물,7732-18-5,10,Skin Conditioning Agent,대한민국
MAA-0026,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAA-0026,3,Water,정제수,84082-61-1,50,Skin Conditioning Agent,대한민국
MAA-0027,1,Water,정제수,7732-18-5,90,Skin Conditioning Agent,대한민국
MAA-0027,2,Butylene Glycol(40±4). Persea Gratissima (Avocado) Fruit Extract,,107-88-0,10,Skin Conditioning Agent,대한민국
MAA-0028,1,Water,정제수,7732-18-5,50,Skin Conditioning Agent,대한민국
MAA-0028,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAA-0028,3,Chamaecyparis Obtusa Leaf Extract,편백잎추출물,91745-97-0,3.5,Skin Conditioning Agent,대한민국
MAA-0028,4,Pinus Densiflora Leaf Extract,소나무잎추출물,92202-05-6,3.5,Skin Conditioning Agent,대한민국
MAA-0028,5,Pinus Sylvestris Bud Extract,구주소나무싹추출물,ㅡ,3,Skin Conditioning Agent,대한민국
MAA-0029,1,Aloe vera ext.,,85507-69-3,95,Skin Conditioning Agent,대한민국
MAA-0029,2,MALTO-DEXTRIN,,,5,Skin Conditioning Agent,대한민국
MAA-0030,1,Water,정제수,84775-41-7,55,Skin Conditioning Agent,대한민국
MAA-0030,2,Butylene Glycol,부틸렌글라이콜,,40,Skin Conditioning Agent,대한민국
MAA-0030,3,Angelica Archangelica Root Extract,안젤리카뿌리추출물,,5,Skin Conditioning Agent,대한민국
MAA-0031,1,Water,정제수,89957-48-2,57,Skin Conditioning Agent,대한민국
MAA-0031,2,Butylene Glycol,부틸렌글라이콜,,40,Skin Conditioning Agent,대한민국
MAA-0031,3,Pyrus Malus (Apple) Fruit Extract,사과추출물,,3,Skin Conditioning Agent,대한민국
MAA-0032,1,Water,정제수,7732-18-5,84,Skin Conditioning Agent,대한민국
MAA-0032,2,Butylene Glycol,부틸렌글라이콜,-,10,Skin Conditioning Agent,대한민국
MAA-0032,3,Aronia Melanocarpa Fruit Extract,아로니아열매추출물,107-88-0,4,Skin Conditioning Agent,대한민국
MAA-0032,4,"1,2-Hexanediol","1,2-헥산다이올",6920-22-5,2,Skin Conditioning Agent,대한민국
MAA-0033,1,Water,정제수,7732-18-5,57,Skin Conditioning Agent,대한민국
MAA-0033,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAA-0033,3,Harpagophytum Procumbens Root Extract,악마의발톱뿌리추출물,84988-65-8,3,Skin Conditioning Agent,대한민국
MAA-0034,1,Water,정제수,7732-18-5,55,Skin Conditioning Agent,대한민국
MAA-0034,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAA-0034,3,Ginkgo Biloba Leaf Extract,은행나무잎추출물,90045-36-6,5,Skin Conditioning Agent,대한민국
MAA-0035,1,Water,정제수,7732-18-5,64.83,Skin Conditioning Agent,대한민국
MAA-0035,2,Butylene Glycol,부틸렌글라이콜,107-88-0,30,Skin Conditioning Agent,대한민국
MAA-0035,3,Glycerin,글리세린,56-81-5,5,Skin Conditioning Agent,대한민국
MAA-0035,4,Lysine,라이신,56-87-1(L-),0.01,Skin Conditioning Agent,대한민국
MAA-0035,5,Histidine,히스티딘,4998-57-6,0.01,Skin Conditioning Agent,대한민국
MAA-0035,6,Arginine,알지닌,74-79-3(L-Form),0.01,Skin Conditioning Agent,대한민국
MAA-0035,7,Aspartic Acid,아스파틱애씨드,56-84-8(L-Form),0.01,Skin Conditioning Agent,대한민국
MAA-0035,8,Threonine,트레오닌,72-19-5(L-Form),0.01,Skin Conditioning Agent,대한민국
MAA-0035,9,Serine,세린,56-45-1(L-Form),0.01,Skin Conditioning Agent,대한민국
MAA-0035,10,Glutamic Acid,글루타믹애씨드,56-86-0 (L-),0.01,Skin Conditioning Agent,대한민국
MAA-0035,11,Proline,프롤린,147-85-3(L-Form),0.01,Skin Conditioning Agent,대한민국
MAA-0035,12,Glycine,글라이신,56-40-6,0.01,Skin Conditioning Agent,대한민국
MAA-0035,13,Alanine,알라닌,56-41-7(L-Form),0.01,Skin Conditioning Agent,대한민국
MAA-0035,14,Valine,발린,516-06-3 (DL-),0.01,Skin Conditioning Agent,대한민국
MAA-0035,15,Methionine,메티오닌,63-68-3,0.01,Skin Conditioning Agent,대한민국
MAA-0035,16,Isoleucine,아이소류신,443-79-8(DL-),0.01,Skin Conditioning Agent,대한민국
MAA-0035,17,Leucine,류신,328-39-2(DL-),0.01,Skin Conditioning Agent,대한민국
MAA-0035,18,Tyrosine,타이로신,60-18-4(L-Form),0.01,Skin Conditioning Agent,대한민국
MAA-0035,19,Phenylalanine,페닐알라닌,63-91-2(L-Form),0.01,Skin Conditioning Agent,대한민국
MAA-0035,20,Cysteine,시스테인,52-90-4(L-Form),0.01,Skin Conditioning Agent,대한민국
MAA-0036,1,Ascorbic Acid,아스코빅애씨드,50-81-7,100,Skin Conditioning Agent,
MAA-0037,1,Water,정제수,7732-18-5,50,Skin Conditioning Agent,대한민국
MAA-0037,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAA-0037,3,Cynara Scolymus (Artichoke) Leaf Extract,아티초크잎추출물,84012-14-6,10,Skin Conditioning Agent,대한민국
MAA-0038,1,water,정제수,7732-18-5,96,Skin Conditioning Agent,대한민국
MAA-0038,2,"1,2-Hexanediol","1,2-헥산다이올",6920-22-5,3,Skin Conditioning Agent,대한민국
MAA-0038,3,Houttuynia Cordata Extract,약모밀추출물,164288-50-0,1,Skin Conditioning Agent,대한민국
MAA-0039,1,Water,정제수,7732-18-5,59.9,Skin Conditioning Agent,대한민국
MAA-0039,2,Butylene Glycol,부틸렌글라이콜,107-88-0  55963-88-7,40,Skin Conditioning Agent,대한민국
MAA-0039,3,Atelocollagen,아텔로콜라겐,,0.1,Skin Conditioning Agent,대한민국
MAB-0004,1,Lactic Acid,락틱애씨드,50-21-5,100,Skin Conditioning Agent,
MAB-0009,1,Water,정제수,7732-18-5,55,Skin Conditioning Agent,대한민국
MAB-0009,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAB-0009,3,Nigella Sativa Seed Extract,블랙커민씨추출물,90064-32-7,5,Skin Conditioning Agent,대한민국
MAB-0010,1,Water,정제수,7732-18-5,55,Skin Conditioning Agent,대한민국
MAB-0010,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAB-0010,3,Adansonia Digitata Leaf Extract,바오밥나무잎추출물,91745-12-9,5,Skin Conditioning Agent,대한민국
MAB-0011,1,Centella Asiatica Extract,병풀추출물,"84696-21-9
107-88-0
6920-22-5
70445-33-9",87.9,Skin Conditioning Agent,대한민국
MAB-0011,2,Butylene Glycol,부틸렌글라이콜,,10,Skin Conditioning Agent,대한민국
